param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,404.497,0.0578228,2.05617,1.93631,400.588,404.823,407.193,1314.12,2253.66,5.69282,1.00039,2,c_only
c[1],-0.896313,0.00327481,0.105515,0.10913,-1.06531,-0.899481,-0.72208,1047.62,1859.88,4.53831,1.00282,2,c_only
c[2],0.0631328,0.00333135,0.107276,0.11073,-0.110973,0.0623315,0.242051,1050.63,1641.53,4.55139,1.00203,2,c_only
c[3],0.272394,0.00343557,0.106494,0.109776,0.0995361,0.27091,0.450244,981.935,1742.2,4.25378,1.00282,2,c_only
d,0.860244,0.0014886,0.0647726,0.0640717,0.757145,0.857402,0.968448,1923.41,2367.28,8.3323,1.00052,2,c_only
t0,0.0914382,0.00119795,0.0371373,0.0388942,0.0245656,0.0942917,0.147883,969.619,1445.39,4.20043,1.00329,2,c_only
B,4.25447,0.0180668,0.613213,0.63882,3.33501,4.21392,5.31937,1160.91,1783.46,5.02911,1.00193,2,c_only
r,16.2171,0.0377669,1.46673,1.42139,13.9501,16.1583,18.7291,1547.24,1854.56,6.70272,1.00098,2,c_only
p_lapse,0.166839,0.000460624,0.0225037,0.0228559,0.130524,0.166246,0.205079,2398.57,2452.39,10.3907,1.0009,2,c_only
c_vec[1],-0.896313,0.00327481,0.105515,0.10913,-1.06531,-0.899481,-0.72208,1047.62,1859.88,4.53831,1.00282,2,c_only
c_vec[2],0.0631328,0.00333135,0.107276,0.11073,-0.110973,0.0623315,0.242051,1050.63,1641.53,4.55139,1.00203,2,c_only
c_vec[3],0.272394,0.00343557,0.106494,0.109776,0.0995361,0.27091,0.450244,981.935,1742.2,4.25378,1.00282,2,c_only
d_vec[1],0.860244,0.0014886,0.0647726,0.0640717,0.757145,0.857402,0.968448,1923.41,2367.28,8.3323,1.00052,2,c_only
d_vec[2],0.860244,0.0014886,0.0647726,0.0640717,0.757145,0.857402,0.968448,1923.41,2367.28,8.3323,1.00052,2,c_only
d_vec[3],0.860244,0.0014886,0.0647726,0.0640717,0.757145,0.857402,0.968448,1923.41,2367.28,8.3323,1.00052,2,c_only
pk[1],0.906316,0.00055589,0.0186753,0.0185592,0.8739,0.908051,0.933615,1133.82,1910.3,4.91177,1.00272,2,c_only
pk[2],0.642426,0.00120044,0.0395715,0.040411,0.575384,0.643969,0.705313,1098.89,1867.83,4.76042,1.00219,2,c_only
pk[3],0.562341,0.00128722,0.0407662,0.0424992,0.495251,0.562969,0.628168,1011.28,1870.38,4.38089,1.00316,2,c_only
pf[1],0.67846,0.00122575,0.0394813,0.0403378,0.611623,0.679378,0.740559,1048.76,1805.53,4.54326,1.00243,2,c_only
pf[2],0.312119,0.00125714,0.0411719,0.0426787,0.244394,0.31136,0.380081,1084.12,1807.13,4.69647,1.00151,2,c_only
pf[3],0.242705,0.00114828,0.036585,0.0377768,0.183801,0.24234,0.303985,1030.64,1833.88,4.46476,1.00211,2,c_only
vk[1],14.6833,0.0288544,1.19219,1.1714,12.7937,14.6596,16.7287,1737.25,2053.48,7.52585,1.00083,2,c_only
vk[2],10.3954,0.0218579,0.904055,0.880079,8.94274,10.3508,11.9389,1728.24,2057.66,7.4868,1.00083,2,c_only
vk[3],9.09724,0.0211483,0.840937,0.825913,7.74946,9.07076,10.5031,1600.91,2155.54,6.93522,1.00105,2,c_only
vf[1],10.986,0.0254615,1.01293,0.964862,9.34545,10.9691,12.6792,1604.8,2316.25,6.95204,1.0012,2,c_only
vf[2],5.05381,0.0208674,0.758046,0.758844,3.84713,5.03565,6.31425,1326.01,1705.67,5.74432,1.00193,2,c_only
vf[3],3.9305,0.0187803,0.659409,0.661167,2.89076,3.90464,5.05152,1211.8,1938.45,5.24956,1.00106,2,c_only
sigma_k[1],1.16776,0.00410817,0.138839,0.141077,0.951193,1.16141,1.41263,1163.97,1596.35,5.04235,1.00222,2,c_only
sigma_k[2],1.92181,0.0031894,0.113619,0.112309,1.73774,1.92041,2.11091,1285.88,1728.23,5.5705,1.0017,2,c_only
sigma_k[3],1.98925,0.0026709,0.099115,0.0967035,1.82785,1.98839,2.15422,1398.01,1758.02,6.05624,1.00146,2,c_only
sigma_f[1],1.87207,0.00337274,0.116912,0.11635,1.68217,1.87087,2.07126,1219.89,1893.34,5.28462,1.00203,2,c_only
sigma_f[2],1.85503,0.00264385,0.101463,0.0974792,1.68567,1.85654,2.02109,1497.73,2010.92,6.48822,1.00099,2,c_only
sigma_f[3],1.71569,0.00312709,0.11247,0.109913,1.52709,1.71937,1.89716,1319.77,1766.36,5.7173,1.00183,2,c_only
log_lik[1],1.27642,0.00213323,0.113398,0.110861,1.08071,1.28291,1.44942,2882.89,3137.99,12.4888,1.00008,2,c_only
