param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,272.96,0.0465234,1.91976,1.80236,269.43,273.262,275.469,1772.11,2154.68,15.6583,1.00147,2,d_only
d[1],3.31485,0.00520552,0.253716,0.251719,2.90085,3.31453,3.72651,2404.25,2284.53,21.2438,1.00066,2,d_only
d[2],2.4723,0.00425544,0.194967,0.191987,2.1648,2.46851,2.80189,2108.72,2527.13,18.6326,1.00166,2,d_only
d[3],1.79733,0.00359354,0.15079,0.148497,1.56171,1.79562,2.05159,1837.24,2207.69,16.2337,1.00545,2,d_only
c,0.0558175,0.00263667,0.0909629,0.0872421,-0.0803361,0.0484266,0.215871,1231.27,1569.5,10.8794,1.00411,2,d_only
t0,0.039657,0.00115231,0.0360714,0.0291934,0.00216936,0.0290191,0.113551,1213.61,1176.03,10.7234,1.00293,2,d_only
B,1.83268,0.00539919,0.16733,0.135782,1.48698,1.87783,2.01815,1174.12,1074.45,10.3745,1.00304,2,d_only
p_lapse,0.317293,0.000438221,0.0232945,0.0234766,0.278791,0.317005,0.355934,2863.49,2530.64,25.3016,1.00079,2,d_only
c_vec[1],0.0558175,0.00263667,0.0909629,0.0872421,-0.0803361,0.0484266,0.215871,1231.27,1569.5,10.8794,1.00411,2,d_only
c_vec[2],0.0558175,0.00263667,0.0909629,0.0872421,-0.0803361,0.0484266,0.215871,1231.27,1569.5,10.8794,1.00411,2,d_only
c_vec[3],0.0558175,0.00263667,0.0909629,0.0872421,-0.0803361,0.0484266,0.215871,1231.27,1569.5,10.8794,1.00411,2,d_only
d_vec[1],3.31485,0.00520552,0.253716,0.251719,2.90085,3.31453,3.72651,2404.25,2284.53,21.2438,1.00066,2,d_only
d_vec[2],2.4723,0.00425544,0.194967,0.191987,2.1648,2.46851,2.80189,2108.72,2527.13,18.6326,1.00166,2,d_only
d_vec[3],1.79733,0.00359354,0.15079,0.148497,1.56171,1.79562,2.05159,1837.24,2207.69,16.2337,1.00545,2,d_only
pk[1],0.944055,0.000395668,0.0147395,0.0118803,0.917065,0.946626,0.961626,1804.92,1402.57,15.9482,0.999774,2,d_only
pk[2],0.880051,0.000400312,0.0187611,0.0181597,0.84773,0.881332,0.908145,2386.59,2194.72,21.0878,1.00103,2,d_only
