param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,376.685,0.0556008,1.98806,1.89807,372.939,376.97,379.411,1306.22,2146.54,8.10599,1.00353,2,t0_only
t0[1],0.152391,0.000552239,0.018495,0.0175849,0.118166,0.15434,0.179591,1188.94,1247.0,7.37822,1.00003,2,t0_only
t0[2],0.234458,0.000519021,0.0173246,0.0165065,0.203362,0.236146,0.259676,1181.32,1482.63,7.33092,1.00039,2,t0_only
t0[3],0.266576,0.000493066,0.0164174,0.0154336,0.236807,0.268366,0.290934,1160.95,1668.4,7.2045,1.00055,2,t0_only
c,-0.2418,0.00136913,0.0533187,0.0531314,-0.329902,-0.241975,-0.154538,1548.08,1967.27,9.60691,1.00009,2,t0_only
d,2.00121,0.00592642,0.223955,0.225723,1.63819,1.99393,2.38419,1428.2,1786.83,8.863,1.00243,2,t0_only
B,0.767795,0.00538195,0.184479,0.180775,0.504913,0.742734,1.10833,1190.15,1606.47,7.38571,1.00385,2,t0_only
r,3.2582,0.0203785,0.753914,0.755883,2.13626,3.19352,4.61263,1371.93,1957.59,8.51377,1.00402,2,t0_only
p_lapse,0.151524,0.000600364,0.0279595,0.0278068,0.105805,0.15081,0.198517,2154.91,1940.39,13.3728,1.00182,2,t0_only
c_vec[1],-0.2418,0.00136913,0.0533187,0.0531314,-0.329902,-0.241975,-0.154538,1548.08,1967.27,9.60691,1.00009,2,t0_only
c_vec[2],-0.2418,0.00136913,0.0533187,0.0531314,-0.329902,-0.241975,-0.154538,1548.08,1967.27,9.60691,1.00009,2,t0_only
c_vec[3],-0.2418,0.00136913,0.0533187,0.0531314,-0.329902,-0.241975,-0.154538,1548.08,1967.27,9.60691,1.00009,2,t0_only
d_vec[1],2.00121,0.00592642,0.223955,0.225723,1.63819,1.99393,2.38419,1428.2,1786.83,8.863,1.00243,2,t0_only
d_vec[2],2.00121,0.00592642,0.223955,0.225723,1.63819,1.99393,2.38419,1428.2,1786.83,8.863,1.00243,2,t0_only
d_vec[3],2.00121,0.00592642,0.223955,0.225723,1.63819,1.99393,2.38419,1428.2,1786.83,8.863,1.00243,2,t0_only
pk[1],0.891307,0.000561861,0.0224321,0.0220183,0.851467,0.893089,0.924956,1611.82,1972.08,10.0025,1.00271,2,t0_only
pk[2],0.891307,0.000561861,0.0224321,0.0220183,0.851467,0.893089,0.924956,1611.82,1972.08,10.0025,1.00271,2,t0_only
pk[3],0.891307,0.000561861,0.0224321,0.0220183,0.851467,0.893089,0.924956,1611.82,1972.08,10.0025,1.00271,2,t0_only
pf[1],0.225818,0.00104798,0.0380483,0.0377718,0.166548,0.223525,0.291271,1342.64,1635.1,8.332,1.00188,2,t0_only
pf[2],0.225818,0.00104798,0.0380483,0.0377718,0.166548,0.223525,0.291271,1342.64,1635.1,8.332,1.00188,2,t0_only
pf[3],0.225818,0.00104798,0.0380483,0.0377718,0.166548,0.223525,0.291271,1342.64,1635.1,8.332,1.00188,2,t0_only
vk[1],2.88999,0.0165129,0.607135,0.617679,1.96973,2.8394,3.97134,1357.39,1989.29,8.42359,1.00359,2,t0_only
vk[2],2.88999,0.0165129,0.607135,0.617679,1.96973,2.8394,3.97134,1357.39,1989.29,8.42359,1.00359,2,t0_only
vk[3],2.88999,0.0165129,0.607135,0.617679,1.96973,2.8394,3.97134,1357.39,1989.29,8.42359,1.00359,2,t0_only
vf[1],0.759242,0.00806431,0.289563,0.277004,0.362387,0.715272,1.30498,1305.83,1707.42,8.10359,1.00275,2,t0_only
vf[2],0.759242,0.00806431,0.289563,0.277004,0.362387,0.715272,1.30498,1305.83,1707.42,8.10359,1.00275,2,t0_only
vf[3],0.759242,0.00806431,0.289563,0.277004,0.362387,0.715272,1.30498,1305.83,1707.42,8.10359,1.00275,2,t0_only
sigma_k[1],0.559249,0.0028934,0.110147,0.111024,0.390317,0.551661,0.751732,1451.51,2037.97,9.00765,1.00367,2,t0_only
sigma_k[2],0.559249,0.0028934,0.110147,0.111024,0.390317,0.551661,0.751732,1451.51,2037.97,9.00765,1.00367,2,t0_only
sigma_k[3],0.559249,0.0028934,0.110147,0.111024,0.390317,0.551661,0.751732,1451.51,2037.97,9.00765,1.00367,2,t0_only
sigma_f[1],0.749555,0.00347627,0.125509,0.128788,0.549337,0.744534,0.965756,1315.55,1811.28,8.16395,1.00323,2,t0_only
sigma_f[2],0.749555,0.00347627,0.125509,0.128788,0.549337,0.744534,0.965756,1315.55,1811.28,8.16395,1.00323,2,t0_only
sigma_f[3],0.749555,0.00347627,0.125509,0.128788,0.549337,0.744534,0.965756,1315.55,1811.28,8.16395,1.00323,2,t0_only
log_lik[1],1.22975,0.000909807,0.0549545,0.0533313,1.13719,1.23042,1.31969,3678.76,3481.13,22.8293,1.00045,2,t0_only
log_lik[2],1.11261,0.00128444,0.0737358,0.0732298,0.9865,1.11519,1.2309,3332.29,3360.84,20.6792,1.00048,2,t0_only
log_lik[3],1.15621,0.00120839,0.0679971,0.0684382,1.04002,1.15858,1.26461,3204.77,3455.39,19.8879,1.00037,2,t0_only
log_lik[4],1.25354,0.000993239,0.054126,0.0549896,1.16189,1.2543,1.33888,3020.21,3426.96,18.7425,1.00057,2,t0_only
log_lik[5],-0.513463,0.00434873,0.257942,0.260516,-0.959467,-0.503422,-0.107611,3590.75,3318.71,22.2831,1.00036,2,t0_only
log_lik[6],0.804645,0.0017017,0.110972,0.111856,0.612568,0.808324,0.982928,4293.93,3075.68,26.6468,1.001,2,t0_only
log_lik[7],1.27604,0.000651176,0.0391216,0.0392514,1.21112,1.27598,1.33947,3693.46,2385.95,22.9205,1.00073,2,t0_only
log_lik[8],1.05604,0.00167367,0.085902,0.0832304,0.904613,1.06085,1.18648,2675.74,3011.2,16.6049,1.00145,2,t0_only
log_lik[9],1.23143,0.00090714,0.0547451,0.0531973,1.13899,1.23206,1.32098,3673.07,3450.14,22.794,1.00045,2,t0_only
log_lik[10],1.34098,0.000547863,0.0359892,0.0360869,1.28115,1.34097,1.3999,4400.15,2173.66,27.3061,1.00215,2,t0_only
log_lik[11],0.921406,0.00119753,0.0593551,0.0592923,0.822433,0.922317,1.01923,2468.59,2770.4,15.3193,1.00036,2,t0_only
log_lik[12],-0.63561,0.00424776,0.266766,0.263912,-1.09447,-0.625422,-0.227865,4149.61,2445.3,25.7513,1.00014,2,t0_only
log_lik[13],0.897682,0.00194236,0.105942,0.103842,0.712223,0.904062,1.0596,3027.6,3065.92,18.7884,1.00123,2,t0_only
log_lik[14],1.35099,0.000544608,0.0356363,0.0354752,1.29119,1.35137,1.4094,4349.57,2301.36,26.9922,1.00176,2,t0_only
log_lik[15],1.33746,0.000561483,0.0358972,0.0347677,1.2775,1.33711,1.39862,4138.23,2311.6,25.6806,1.00028,2,t0_only
log_lik[16],1.28454,0.000617167,0.0396126,0.0389054,1.21804,1.28494,1.34942,4181.91,3050.42,25.9517,1.00055,2,t0_only
log_lik[17],1.03993,0.001705,0.0880375,0.0855773,0.885502,1.04502,1.1751,2708.92,2932.81,16.8108,1.00132,2,t0_only
log_lik[18],1.03489,0.00098165,0.0508348,0.0506004,0.946199,1.0369,1.11591,2763.59,2886.28,17.15,1.00075,2,t0_only
log_lik[19],1.10372,0.000736674,0.0434837,0.0453391,1.03278,1.10318,1.17586,3508.38,3016.29,21.772,0.999993,2,t0_only
