index,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,participant_id
d_t0,0,286.8652242215845,8.657245476440664,0.0,1.0,24.136720831795913,0.0,False,log,1
d_B,1,285.72326688922874,8.882220598879599,1.1419573323557763,0.0,24.185883520458056,0.9645249184673639,False,log,1
c_t0,2,284.6011506604133,9.007355355932305,2.264073561171184,0.0,24.011141414839756,2.029376650168876,False,log,1
c_B,3,283.47569327196976,9.310927821922235,3.3895309496147172,0.0,24.039077107780006,2.007521942384919,False,log,1
c_B,0,455.4184573335692,8.170145310405587,0.0,0.9999999999666755,28.457916437618906,0.0,False,log,2
c_t0,1,451.3584623345668,8.246407971020346,4.059994999002389,0.0,28.683797104983473,2.075380603698426,False,log,2
d_B,2,436.13926155166683,8.200860945052511,19.279195781902388,0.0,27.958210270312495,5.638261509556941,False,log,2
d_t0,3,390.3452886694595,26.860788186048637,65.07316866410974,3.33244543071487e-11,28.041810564641896,10.564462271011731,False,log,2
c_t0,0,342.66734919093,9.561064811821836,0.0,0.615246071008686,30.232668647772485,0.0,False,log,3
c_B,1,341.48003728199916,9.055791607203957,1.1873119089307718,0.34393123908168544,29.983564282672084,2.739072122980085,False,log,3
d_B,2,323.4471211178308,9.398869077304198,19.22022807309916,0.0,29.692734058850313,6.335166141815173,False,log,3
d_t0,3,275.79689573655145,10.104075101555111,66.87045345437855,0.04082268990962856,29.591224569230512,11.569572691266858,False,log,3
d_B,0,883.7019654524779,9.021696134465856,0.0,0.5784315840763253,30.838607008122864,0.0,False,log,4
c_t0,1,882.6474134409812,9.198464932543857,1.0545520114965905,0.42156841592373584,30.992444825125535,3.6020367481443425,False,log,4
c_B,2,881.9000268966302,9.190974201926679,1.8019385558475962,2.004407103651216e-14,31.060013842517446,3.2650359418332013,False,log,4
d_t0,3,876.8241577217525,8.913034949254893,6.877807730725312,0.0,31.08528533047967,3.156565288437341,False,log,4
c_t0,0,770.8664162509742,8.695682437523374,0.0,0.8000314564561881,31.840642570323123,0.0,False,log,5
d_t0,1,769.9915279475372,7.625457274329619,0.874888303437003,0.19996854354381058,31.814589902855186,1.7132550328370235,False,log,5
c_B,2,769.6433275475615,8.20786892915612,1.2230887034127544,1.695114035846337e-15,31.848142494242023,0.7355883358929508,False,log,5
d_B,3,768.3922830392428,7.876390330563709,2.474133211731375,0.0,31.85629476194201,1.3498375932684687,False,log,5
d_t0,0,270.6894800125203,7.985715523879094,0.0,0.7101543887368986,23.548398152240566,0.0,False,log,6
c_t0,1,270.1058608529406,7.748641234769821,0.5836191595796674,0.28984561126310154,23.342786753376444,1.6706406626011927,False,log,6
c_B,2,267.9970692038758,7.915193362934531,2.6924108086444267,0.0,23.28881086845648,2.0157752961227975,False,log,6
d_B,3,267.27973677244444,8.40800024133489,3.409743240075766,0.0,23.55691521272867,2.478268614828263,False,log,6
c_t0,0,722.1486636349587,9.284779099994239,0.0,0.5959143828857723,32.897020546205184,0.0,False,log,7
d_B,1,720.6652560214665,8.96021017855503,1.483407613492223,0.40408561711422836,32.925504978853546,3.9403037089190116,False,log,7
c_B,2,719.7557989125862,9.434253381090912,2.3928647223725052,3.203883094487439e-16,33.05159481177333,1.8787837881971605,False,log,7
d_t0,3,711.1962449686933,12.002265399376483,10.952418666265299,0.0,33.68013262162747,5.385764866776512,False,log,7
d_B,0,242.60805292372925,8.583438927283794,0.0,0.9159159749926233,29.44968730925075,0.0,False,log,8
c_B,1,239.71242040322693,8.419671039237727,2.895632520502322,0.08408402500710345,29.278841781108532,2.6353760418620786,False,log,8
c_t0,2,234.3558450231672,8.881408466466524,8.25220790056207,1.8067078583130704e-15,29.309310107649573,3.206540492388209,False,log,8
d_t0,3,230.08879947497238,8.625399167229602,12.519253448756896,2.7144952952085077e-13,29.443117147390463,4.208148552357492,False,log,8
c_t0,0,458.7097510027792,9.44084643036041,0.0,0.8726485520251528,33.608983524509696,0.0,False,log,9
c_B,1,457.19184538444966,9.356371323208634,1.5179056183296025,1.3268812041887973e-16,33.466362663892696,1.529147384944975,False,log,9
d_B,2,452.8014207042929,8.60865574921172,5.908330298486348,0.0018039834291815923,33.41237892687168,4.425655603299396,False,log,9
d_t0,3,439.2633252582734,10.196863106672936,19.44642574450585,0.12554746454566545,33.759299237186404,7.330525690022099,False,log,9
c_B,0,481.46880376745196,8.2457735984475,0.0,0.21603002494479132,27.261769755384748,0.0,False,log,10
c_t0,1,481.4331260085355,8.631826010014208,0.035677758916397906,0.44783677288466295,27.268991065997227,1.0455929544239158,False,log,10
d_B,2,480.3109802398094,8.3812158442405,1.157823527642499,0.33613320217054576,27.46378296110832,2.6887317337105046,False,log,10
d_t0,3,475.82327726010385,8.807551607679898,5.645526507348135,0.0,27.43279201677784,4.347140216132941,False,log,10
d_B,0,1130.1698612600717,8.729022100168095,0.0,0.5948178855214122,33.365444223254,0.0,False,log,11
c_B,1,1129.9829121507642,9.188316283346467,0.18694910930749842,0.4051821144785882,33.38572518901508,1.4030721301927933,False,log,11
c_t0,2,1129.521741837386,9.443025283774432,0.648119422685844,4.0798260472172414e-16,33.32965118611262,1.5623573598063238,False,log,11
d_t0,3,1129.3998254750359,8.406655183536714,0.7700357850359074,0.0,33.45554712513538,1.174379243399235,False,log,11
c_t0,0,257.9983288496627,7.376847450448281,0.0,0.5655002126314365,26.08518925063068,0.0,False,log,12
c_B,1,256.8518718226427,7.385765110082673,1.1464570270199275,0.042059123606804735,25.930230632229456,2.3940703228635973,False,log,12
d_B,2,254.79646491220103,7.60555190023274,3.201863937461656,0.3620250822157412,26.14978002270408,5.061519562047059,False,log,12
d_t0,3,243.60209830905126,6.611177481723985,14.396230540611406,0.030415581546017645,26.0614512524932,6.162498661885081,False,log,12
