"subjects","E","S","R","rt"
"as1t","accuracy","right","right",0.4319
"as1t","speed","right","right",0.5015
"as1t","speed","left","left",0.3104
"as1t","accuracy","right","right",0.4809
"as1t","accuracy","left","left",0.3415
"as1t","neutral","left","left",0.3465
"as1t","neutral","left","left",0.3572
"as1t","neutral","right","right",0.4042
"as1t","neutral","left","left",0.3866
"as1t","accuracy","right","right",0.3683
"as1t","accuracy","right","right",0.371
"as1t","neutral","left","left",0.3545
"as1t","accuracy","left","right",0.3111
"as1t","accuracy","left","left",0.4169
"as1t","neutral","right","right",0.5127
"as1t","speed","right","left",0.4118
"as1t","accuracy","right","right",0.4826
"as1t","speed","right","left",0.4343
"as1t","accuracy","right","right",0.3803
"as1t","speed","left","left",0.5187
"as1t","accuracy","right","right",0.4716
"as1t","neutral","left","left",0.5938
"as1t","neutral","left","left",0.3796
"as1t","speed","left","left",0.4949
"as1t","accuracy","right","right",0.4693
"as1t","neutral","right","left",0.3286
"as1t","accuracy","left","right",0.4872
"as1t","neutral","left","left",0.3089
"as1t","speed","right","right",0.5114
"as1t","speed","left","left",0.2873
"as1t","speed","left","left",0.4389
"as1t","neutral","right","right",0.4144
"as1t","neutral","left","left",0.3114
"as1t","neutral","left","left",0.4272
"as1t","accuracy","left","left",0.4181
"as1t","speed","right","right",0.3373
"as1t","accuracy","right","left",0.321
"as1t","speed","right","right",0.458
"as1t","speed","left","left",0.5226
"as1t","speed","right","right",0.4205
"as1t","speed","right","left",0.4179
"as1t","neutral","left","left",0.4914
"as1t","accuracy","right","right",0.4112
"as1t","accuracy","right","right",0.3927
"as1t","neutral","right","right",0.5793
"as1t","neutral","left","left",0.4194
"as1t","speed","left","left",0.4449
"as1t","accuracy","right","right",0.4873
"as1t","neutral","right","right",0.4025
"as1t","speed","right","right",0.4911
"as1t","speed","left","left",0.3138
"as1t","neutral","right","right",0.7872
"as1t","neutral","right","right",0.4621
"as1t","neutral","left","left",0.4605
"as1t","accuracy","right","right",0.5369
"as1t","neutral","right","right",0.4935
"as1t","neutral","left","left",0.325
"as1t","speed","right","right",0.5663
"as1t","accuracy","right","left",0.6087
"as1t","speed","right","right",0.4528
"as1t","speed","right","left",0.3561
"as1t","accuracy","right","left",0.5971
"as1t","neutral","left","left",0.5204
"as1t","neutral","left","left",0.4084
"as1t","accuracy","left","left",0.4569
"as1t","accuracy","left","left",0.483
"as1t","speed","left","left",0.5611
"as1t","neutral","right","left",0.4731
"as1t","accuracy","left","left",0.4539
"as1t","neutral","left","left",0.4068
"as1t","neutral","right","right",0.4937
"as1t","speed","left","left",0.4483
"as1t","neutral","right","right",0.411
"as1t","neutral","right","left",0.7205
"as1t","speed","left","right",0.4949
"as1t","speed","left","left",0.4455
"as1t","accuracy","right","right",0.4926
"as1t","neutral","left","left",0.3879
"as1t","neutral","right","right",0.465
"as1t","speed","right","left",0.4222
"as1t","speed","left","left",0.4399
"as1t","accuracy","right","right",0.4755
"as1t","accuracy","left","left",0.6957
"as1t","accuracy","right","right",0.5289
"as1t","speed","right","right",0.5916
"as1t","speed","right","left",0.3304
"as1t","accuracy","left","right",0.5636
"as1t","speed","left","left",0.4408
"as1t","speed","right","right",0.463
"as1t","accuracy","left","left",0.4236
"as1t","accuracy","right","right",0.4592
"as1t","speed","left","right",0.2693
"as1t","speed","left","right",0.2952
"as1t","accuracy","right","right",0.4789
"as1t","speed","left","left",0.3169
"as1t","neutral","right","left",0.3923
"as1t","speed","left","left",0.4053
"as1t","neutral","left","left",0.5048
"as1t","neutral","left","left",0.4835
"as1t","neutral","right","right",0.5265
"as1t","accuracy","right","right",0.4513
"as1t","accuracy","right","right",0.4731
"as1t","speed","right","right",0.4288
"as1t","neutral","right","right",0.4477
