pid,n_levels_requested,n_levels_actual,n_params,n_trials,log_lik_total,AIC,BIC,fit_time_utc,t0_hi,lp__,a[1],a[2],v_base[1],v_base[2],v_base[3],v_base[4],v_base[5],v_base[6],v_base[7],v_base[8],v_base[9],v_base[10],sv,sz,t0,a_full[1],a_full[2],a_full[3],a_full[4],a_full[5],a_full[6],a_full[7],a_full[8],a_full[9],a_full[10],a_full[11],a_full[12],a_full[13],a_full[14],a_full[15],a_full[16],a_full[17],a_full[18],a_full[19],a_full[20],v_full[1],v_full[2],v_full[3],v_full[4],v_full[5],v_full[6],v_full[7],v_full[8],v_full[9],v_full[10],v_full[11],v_full[12],v_full[13],v_full[14],v_full[15],v_full[16],v_full[17],v_full[18],v_full[19],v_full[20],v_base[11],a_full[21],a_full[22],v_full[21],v_full[22],v_base[12],v_base[13],a_full[23],a_full[24],a_full[25],a_full[26],v_full[23],v_full[24],v_full[25],v_full[26],v_base[14],v_base[15],a_full[27],a_full[28],a_full[29],a_full[30],v_full[27],v_full[28],v_full[29],v_full[30],v_base[16],v_base[17],a_full[31],a_full[32],a_full[33],a_full[34],v_full[31],v_full[32],v_full[33],v_full[34],v_base[18],v_base[19],a_full[35],a_full[36],a_full[37],a_full[38],v_full[35],v_full[36],v_full[37],v_full[38],v_base[20],v_base[21],a_full[39],a_full[40],a_full[41],a_full[42],v_full[39],v_full[40],v_full[41],v_full[42],v_base[22],a_full[43],a_full[44],v_full[43],v_full[44],v_base[23],a_full[45],a_full[46],v_full[45],v_full[46]
jf,5,5,10,7179,2392.3204790581394,-4764.640958116279,-4695.851804350514,2026-07-23T11:42:38+00:00,0.21,2370.7799,0.80612806,2.2580416,2.9222643,1.806376,0.89392782,2.0992475,2.5768302,,,,,,0.65376804,0.1281341,0.20583668,0.80612806,0.80612806,0.80612806,0.80612806,0.80612806,2.2580416,2.2580416,2.2580416,2.2580416,2.2580416,,,,,,,,,,,2.9222643,1.806376,0.89392782,2.0992475,2.5768302,2.9222643,1.806376,0.89392782,2.0992475,2.5768302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,5,5,10,7043,2782.0662205053395,-5544.132441010679,-5475.534546063225,2026-07-23T11:42:55+00:00,0.208,2759.0135,0.77740229,2.2295177,3.4397385,1.3847621,0.79484917,2.4441622,3.937241,,,,,,0.87596172,0.13146482,0.20283422,0.77740229,0.77740229,0.77740229,0.77740229,0.77740229,2.2295177,2.2295177,2.2295177,2.2295177,2.2295177,,,,,,,,,,,3.4397385,1.3847621,0.79484917,2.4441622,3.937241,3.4397385,1.3847621,0.79484917,2.4441622,3.937241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,5,5,10,7904,4769.05805589664,-9518.11611179328,-9448.364869399004,2026-07-23T11:43:41+00:00,0.228,4749.7529,0.98425793,1.8890724,3.9461026,2.1565675,1.3164023,2.9851124,3.8059083,,,,,,0.79636321,0.19373288,0.22535558,0.98425793,0.98425793,0.98425793,0.98425793,0.98425793,1.8890724,1.8890724,1.8890724,1.8890724,1.8890724,,,,,,,,,,,3.9461026,2.1565675,1.3164023,2.9851124,3.8059083,3.9461026,2.1565675,1.3164023,2.9851124,3.8059083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,7,7,12,7174,2463.4466582836894,-4902.893316567379,-4820.354692670272,2026-07-23T11:44:16+00:00,0.21,2441.5508,0.80748951,2.2612787,2.9594595,2.5511898,1.4464309,0.88454039,1.8589571,2.4027583,2.637998,,,,0.59258334,0.12420947,0.20557156,0.80748951,0.80748951,0.80748951,0.80748951,0.80748951,0.80748951,0.80748951,2.2612787,2.2612787,2.2612787,2.2612787,2.2612787,2.2612787,2.2612787,,,,,,,2.9594595,2.5511898,1.4464309,0.88454039,1.8589571,2.4027583,2.637998,2.9594595,2.5511898,1.4464309,0.88454039,1.8589571,2.4027583,2.637998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,7,7,12,7039,2884.32355456905,-5744.6471091381,-5662.336452414803,2026-07-23T11:44:35+00:00,0.209,2860.6354,0.77494462,2.2386762,3.6324304,2.2807261,1.0320358,0.79165686,2.0849066,3.1565288,4.2606515,,,,0.84562347,0.13358536,0.20371831,0.77494462,0.77494462,0.77494462,0.77494462,0.77494462,0.77494462,0.77494462,2.2386762,2.2386762,2.2386762,2.2386762,2.2386762,2.2386762,2.2386762,,,,,,,3.6324304,2.2807261,1.0320358,0.79165686,2.0849066,3.1565288,4.2606515,3.6324304,2.2807261,1.0320358,0.79165686,2.0849066,3.1565288,4.2606515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,7,7,12,7899,4769.27287651298,-9514.54575302596,-9430.851855647988,2026-07-23T11:45:23+00:00,0.226,4747.9079,0.99817826,1.8961355,4.0606901,3.3963025,1.949977,1.3152272,2.8235852,3.5941715,3.8664494,,,,0.78632583,0.16822324,0.22353679,0.99817826,0.99817826,0.99817826,0.99817826,0.99817826,0.99817826,0.99817826,1.8961355,1.8961355,1.8961355,1.8961355,1.8961355,1.8961355,1.8961355,,,,,,,4.0606901,3.3963025,1.949977,1.3152272,2.8235852,3.5941715,3.8664494,4.0606901,3.3963025,1.949977,1.3152272,2.8235852,3.5941715,3.8664494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,9,9,14,7167,2518.19470556109,-5008.38941112218,-4912.108017018265,2026-07-23T11:45:57+00:00,0.208,2495.1133,0.81735067,2.2879388,3.0218307,2.7493072,2.2265232,1.1831142,0.58002902,1.6549751,2.2297284,2.5145442,2.6900765,,0.60408331,0.11343416,0.20457909,0.81735067,0.81735067,0.81735067,0.81735067,0.81735067,0.81735067,0.81735067,0.81735067,0.81735067,2.2879388,2.2879388,2.2879388,2.2879388,2.2879388,2.2879388,2.2879388,2.2879388,2.2879388,,,3.0218307,2.7493072,2.2265232,1.1831142,0.58002902,1.6549751,2.2297284,2.5145442,2.6900765,3.0218307,2.7493072,2.2265232,1.1831142,0.58002902,1.6549751,2.2297284,2.5145442,2.6900765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,9,9,14,7029,2955.850570121724,-5883.701140243448,-5787.691944062985,2026-07-23T11:46:18+00:00,0.206,2930.6635,0.79091366,2.2616518,3.875786,2.6779863,1.7224091,0.41882444,1.103243,1.7138379,2.6982368,3.6186777,4.36212,,0.79218534,0.12418498,0.20151412,0.79091366,0.79091366,0.79091366,0.79091366,0.79091366,0.79091366,0.79091366,0.79091366,0.79091366,2.2616518,2.2616518,2.2616518,2.2616518,2.2616518,2.2616518,2.2616518,2.2616518,2.2616518,,,3.875786,2.6779863,1.7224091,0.41882444,1.103243,1.7138379,2.6982368,3.6186777,4.36212,3.875786,2.6779863,1.7224091,0.41882444,1.103243,1.7138379,2.6982368,3.6186777,4.36212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,9,9,14,7892,4838.627378316183,-9649.254756632366,-9551.624288492372,2026-07-23T11:47:06+00:00,0.226,4816.3242,1.0032332,1.9086833,4.1044477,3.7650376,2.7879514,1.6851623,1.0126205,2.4389412,3.407946,3.7434783,3.8757406,,0.76822781,0.1694375,0.22347145,1.0032332,1.0032332,1.0032332,1.0032332,1.0032332,1.0032332,1.0032332,1.0032332,1.0032332,1.9086833,1.9086833,1.9086833,1.9086833,1.9086833,1.9086833,1.9086833,1.9086833,1.9086833,,,4.1044477,3.7650376,2.7879514,1.6851623,1.0126205,2.4389412,3.407946,3.7434783,3.8757406,4.1044477,3.7650376,2.7879514,1.6851623,1.0126205,2.4389412,3.407946,3.7434783,3.8757406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,10,10,15,7030,3020.2800703975704,-6010.560140795141,-5907.69101102307,2026-07-23T11:39:22+00:00,0.208,2994.8733,0.78384191,2.2704572,3.9146209,2.9068726,1.916008,0.79483386,0.00021485737,1.3434791,2.0899047,2.9497366,3.6546981,4.4102514,0.80784481,0.13480628,0.20309826,0.78384191,0.78384191,0.78384191,0.78384191,0.78384191,0.78384191,0.78384191,0.78384191,0.78384191,0.78384191,2.2704572,2.2704572,2.2704572,2.2704572,2.2704572,2.2704572,2.2704572,2.2704572,2.2704572,2.2704572,3.9146209,2.9068726,1.916008,0.79483386,0.00021485737,1.3434791,2.0899047,2.9497366,3.6546981,4.4102514,3.9146209,2.9068726,1.916008,0.79483386,0.00021485737,1.3434791,2.0899047,2.9497366,3.6546981,4.4102514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,10,10,15,7889,4849.867315260592,-9669.734630521183,-9565.136260574756,2026-07-23T11:40:14+00:00,0.226,4827.2636,1.0052733,1.9112462,4.1124693,3.7732598,2.7953134,1.6903821,0.72751065,1.6648496,2.6591262,3.4151269,3.7506906,3.8827418,0.77761214,0.16879712,0.22345684,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,4.1124693,3.7732598,2.7953134,1.6903821,0.72751065,1.6648496,2.6591262,3.4151269,3.7506906,3.8827418,4.1124693,3.7732598,2.7953134,1.6903821,0.72751065,1.6648496,2.6591262,3.4151269,3.7506906,3.8827418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,11,11,16,7164,2508.36861803165,-4984.7372360633,-4874.70805585241,2026-07-23T11:47:43+00:00,0.207,2484.8836,0.82649849,2.3016751,3.0834966,2.8065287,2.5123093,1.7940093,0.44715944,1.0613554,1.6563523,2.1182601,2.4767565,2.5488089,0.59200508,0.11206008,0.20317587,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,3.0834966,2.8065287,2.5123093,1.7940093,0.44715944,1.0613554,1.6563523,2.1182601,2.4767565,2.5488089,2.6933855,3.0834966,2.8065287,2.5123093,1.7940093,0.44715944,1.0613554,1.6563523,2.1182601,2.4767565,2.6933855,2.3016751,2.3016751,2.5488089,2.6933855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
