pid,sv_fixed,log_lik,sz,t0,a1,a2
jf,0.0001,2535.8037678216106,0.045325453,0.20423486,0.80349358,2.1623248
jf,0.01,2535.3392468750403,0.045653741,0.20423708,0.80347965,2.1622272
jf,0.02,2533.9592020671203,0.045415594,0.20423903,0.80343893,2.1617856
jf,0.03,2531.67054864951,0.044777745,0.20423812,0.8033782,2.1610897
jf,0.05,2524.3060556103696,0.045684182,0.20424651,0.80323844,2.1590568
jf,0.1,2490.13913958164,0.042858104,0.20426089,0.80246865,2.1491585
jf,0.2,2357.3714633903237,0.036914605,0.20433705,0.79958546,2.1123754
jf,0.30000000000000004,2148.62569215849,0.030864061,0.20445685,0.79530225,2.0585129
jf,0.4,1878.6690155218603,0.027514656,0.20460039,0.79015264,1.9952912
jf,0.5,1562.69677266165,0.026656783,0.20475667,0.78445578,1.9291873
jf,0.6,1214.335715024079,0.024329641,0.20490202,0.77854224,1.864933
jf,0.7000000000000001,844.4958189310096,0.023803688,0.2050392,0.77257036,1.8052354
jf,0.8,461.74292082094007,0.02287286,0.20516405,0.76662033,1.751296
jf,0.9,72.40736757154991,0.02268026,0.20527709,0.76075347,1.7033251
jf,1.0,-318.77607394589586,0.022328467,0.20537902,0.75498758,1.6610267
kr,0.0001,2980.81620263024,0.036096246,0.20177126,0.7652174,2.0836306
kr,0.01,2980.40310007354,0.035847347,0.20176989,0.76520939,2.0835106
kr,0.02,2979.1654105922803,0.036284581,0.20177399,0.765175,2.0832537
kr,0.03,2977.08806489982,0.035319514,0.20177318,0.76512581,2.0827164
kr,0.05,2970.5460961367635,0.036369383,0.20178386,0.7649794,2.0812935
kr,0.1,2940.05158821021,0.03572875,0.20180845,0.76434106,2.0743902
kr,0.2,2820.9419504368,0.032541178,0.20190333,0.76184929,2.0482025
kr,0.30000000000000004,2631.7480875123597,0.029642917,0.20204812,0.75805404,2.0089311
kr,0.4,2384.12621173015,0.026415831,0.20221737,0.75335085,1.9612589
kr,0.5,2090.4405771663282,0.024663242,0.20239773,0.74809265,1.9097844
kr,0.6,1762.21273849146,0.023946495,0.20257666,0.74251364,1.8578145
kr,0.7000000000000001,1409.5451919299899,0.02304833,0.20274437,0.73679268,1.8076506
kr,0.8,1040.5764370410648,0.022860274,0.20289987,0.73104536,1.7606341
kr,0.9,661.80526599319,0.022377237,0.2030405,0.72533041,1.7173497
kr,1.0,278.1714458155798,0.022524144,0.20316822,0.71970096,1.6780066
nh,0.0001,4819.4940977024,0.087004859,0.2230422,0.96080853,1.7779201
nh,0.01,4819.112879846222,0.087385463,0.22304597,0.96078854,1.7778472
nh,0.02,4817.97107608869,0.086874698,0.22304485,0.9606944,1.7775347
nh,0.03,4816.06816095402,0.086541212,0.22304432,0.9606082,1.7771127
nh,0.05,4809.986150589029,0.085951751,0.22305003,0.96028975,1.7759504
nh,0.1,4781.609610273211,0.082008568,0.22306098,0.95887326,1.7702102
nh,0.2,4670.183535762044,0.069144684,0.2231236,0.95347704,1.7488576
nh,0.30000000000000004,4491.1467850359495,0.055733662,0.2232335,0.94567644,1.7176397
nh,0.4,4252.76624819185,0.045477492,0.22338564,0.93613167,1.6797319
nh,0.5,3964.478160276911,0.038087243,0.22355075,0.92548969,1.6379501
nh,0.6,3635.87876353501,0.033166854,0.22370856,0.91428044,1.5947871
nh,0.7000000000000001,3275.95618792938,0.030513267,0.22385419,0.9028382,1.55208
nh,0.8,2892.725487554613,0.02791889,0.22398333,0.89138966,1.5111031
nh,0.9,2492.9273433537,0.026843307,0.22409494,0.88017056,1.4727116
nh,1.0,2082.21944601509,0.025868789,0.22419361,0.86923863,1.4372363
