param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id
lp__,4047.31,0.0839089,2.66359,2.49247,4042.33,4047.69,4050.94,1039.53,1682.85,0.0725967,1.0014,jf
a[1],1.12454,0.000463698,0.0159066,0.0159317,1.099,1.12394,1.15082,1117.96,2022.38,0.078074,1.00379,jf
a[2],3.0737,0.00156659,0.0440653,0.0454003,3.00009,3.07462,3.14396,793.77,1406.44,0.0554337,1.00713,jf
v_base[1],3.839,0.00238799,0.0804616,0.0799232,3.70753,3.83842,3.97072,1144.86,1862.39,0.079952,1.00603,jf
v_base[2],3.40036,0.00225647,0.0756425,0.0752504,3.27183,3.40113,3.52442,1123.95,1802.38,0.0784921,1.00511,jf
v_base[3],2.91349,0.00222021,0.0784524,0.077255,2.78507,2.91218,3.04705,1258.4,1900.97,0.0878818,1.00461,jf
v_base[4],2.7063,0.00203098,0.0810354,0.0801474,2.57313,2.70597,2.84322,1597.24,1637.92,0.111545,1.00333,jf
v_base[5],3.03564,0.00235876,0.0803547,0.0807306,2.90681,3.03519,3.16945,1165.19,1864.94,0.0813721,1.00435,jf
v_base[6],3.40041,0.00231947,0.0807742,0.0827999,3.26801,3.39886,3.53011,1219.58,1888.72,0.0851707,1.00351,jf
v_base[7],3.56149,0.00217706,0.0818431,0.0821962,3.42581,3.5609,3.69335,1418.27,2081.71,0.0990461,1.00428,jf
sv,0.00561124,7.87995e-05,0.00439946,0.00421809,0.000406653,0.00460574,0.0142772,1778.05,982.112,0.124172,1.00135,jf
sz,0.13772,0.00110609,0.0360691,0.0334458,0.0706956,0.141553,0.189688,1148.63,1157.06,0.0802156,1.0048,jf
t0,0.186244,2.94008e-05,0.00125417,0.00124271,0.184166,0.186251,0.188284,1835.49,1952.95,0.128183,1.00046,jf
p_lapse,0.0260903,7.14813e-05,0.00308346,0.00307469,0.0213448,0.0259607,0.03143,1852.72,2056.69,0.129386,1.00216,jf
a_full[1],1.12454,0.000463698,0.0159066,0.0159317,1.099,1.12394,1.15082,1117.96,2022.38,0.078074,1.00379,jf
a_full[2],1.12454,0.000463698,0.0159066,0.0159317,1.099,1.12394,1.15082,1117.96,2022.38,0.078074,1.00379,jf
a_full[3],1.12454,0.000463698,0.0159066,0.0159317,1.099,1.12394,1.15082,1117.96,2022.38,0.078074,1.00379,jf
a_full[4],1.12454,0.000463698,0.0159066,0.0159317,1.099,1.12394,1.15082,1117.96,2022.38,0.078074,1.00379,jf
a_full[5],1.12454,0.000463698,0.0159066,0.0159317,1.099,1.12394,1.15082,1117.96,2022.38,0.078074,1.00379,jf
a_full[6],1.12454,0.000463698,0.0159066,0.0159317,1.099,1.12394,1.15082,1117.96,2022.38,0.078074,1.00379,jf
