participant_id,model,n_divergent,pct_divergent,mean_treedepth,max_treedepth,mean_n_leapfrog,max_rhat,min_ess_bulk
jf,c_only,0,0.0,7.34525,9.0,204.124,1.00524,1365.05
kr,c_only,0,0.0,6.3685,7.0,103.276,1.00441,1467.01
nh,c_only,0,0.0,6.39125,8.0,104.036,1.00578,1068.22
jf,B_only,0,0.0,5.843,8.0,68.817,1.0042,678.909
kr,B_only,0,0.0,5.792,7.0,66.734,1.00504,1035.41
nh,B_only,0,0.0,5.96375,7.0,77.354,1.00478,1097.02
jf,t0_only,3981,0.99525,4.19275,10.0,69.539,3.13316,4.4977
kr,t0_only,2425,0.60625,5.421,9.0,88.6055,1.03949,186.837
nh,t0_only,0,0.0,6.61375,8.0,125.62,1.00499,1095.01
jf,d_only,2858,0.7145,4.79575,9.0,56.781,1.04156,83.488
kr,d_only,2045,0.51125,5.11,8.0,57.9055,1.0368,167.222
nh,d_only,0,0.0,6.333,8.0,101.492,1.00327,1552.89
