param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,820.106,0.065957,2.61984,2.50737,815.302,820.478,823.776,1638.31,2430.84,0.565482,1.00149,jf,B_only
c,-0.102977,0.000788831,0.0287235,0.0283437,-0.149555,-0.103516,-0.0557608,1351.22,1955.46,0.466389,1.00159,jf,B_only
B[1],1.22123,0.00234979,0.0628023,0.0635125,1.12222,1.21922,1.32453,720.631,1167.55,0.248734,1.00357,jf,B_only
B[2],2.89991,0.00538464,0.141583,0.143517,2.67296,2.89407,3.13441,698.813,1201.15,0.241203,1.00341,jf,B_only
t0,0.156708,6.44173e-05,0.0029013,0.00285567,0.151784,0.156718,0.16143,2049.21,2543.05,0.707306,1.00306,jf,B_only
d_base[1],1.31954,0.00175096,0.0601946,0.058264,1.22051,1.31958,1.41827,1201.67,1718.91,0.414771,1.00197,jf,B_only
d_base[2],0.731892,0.00129436,0.0485809,0.0481108,0.654589,0.73029,0.812101,1437.04,2259.33,0.496009,1.00206,jf,B_only
d_base[3],0.134245,0.0008077,0.0410973,0.0408523,0.0665993,0.1335,0.201475,2576.9,1316.69,0.889443,1.00061,jf,B_only
d_base[4],0.0565115,0.000678479,0.0369088,0.0389727,0.00575411,0.0510759,0.124557,2076.3,1304.72,0.716658,1.0023,jf,B_only
d_base[5],0.345045,0.000932335,0.0448685,0.0464372,0.274219,0.34305,0.421319,2357.57,2242.92,0.813739,1.00058,jf,B_only
d_base[6],0.816107,0.00140506,0.0529283,0.0533878,0.73171,0.815184,0.903727,1442.8,2358.39,0.497998,1.002,jf,B_only
d_base[7],1.18687,0.00203016,0.0668334,0.0661373,1.07782,1.18753,1.29794,1090.78,1874.86,0.376494,1.00252,jf,B_only
r,8.58286,0.0209811,0.545532,0.544435,7.73889,8.56209,9.49317,688.028,1136.47,0.23748,1.00406,jf,B_only
