param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,1256.53,0.0770406,2.76583,2.6649,1251.48,1256.88,1260.36,1365.05,1769.77,0.32403,1.0005,jf,c_only
c[1],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c[2],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
B,4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
t0,0.0240344,0.000315232,0.0117354,0.0123243,0.00494582,0.0239617,0.0439037,1369.59,1651.56,0.325107,1.00185,jf,c_only
d_base[1],0.763324,0.000582456,0.0310273,0.0307695,0.713681,0.763328,0.814298,2858.71,2635.01,0.678589,1.00061,jf,c_only
d_base[2],0.407153,0.000416723,0.0240486,0.0236813,0.367205,0.406972,0.446979,3403.41,2577.83,0.807887,1.00151,jf,c_only
d_base[3],0.0658029,0.000463876,0.0219534,0.0220086,0.028403,0.0659553,0.101243,2241.87,1110.29,0.532165,1.0021,jf,c_only
d_base[4],0.0292484,0.000368659,0.0200039,0.020421,0.00264526,0.0260823,0.0664524,1607.1,846.04,0.381485,1.00148,jf,c_only
d_base[5],0.189991,0.000411357,0.023993,0.0233285,0.150647,0.189486,0.230262,3398.88,2567.77,0.806812,1.00062,jf,c_only
d_base[6],0.46449,0.000493216,0.0262529,0.0269478,0.420712,0.464279,0.507972,2855.42,2474.44,0.677807,1.00056,jf,c_only
d_base[7],0.67416,0.000660323,0.0328915,0.0333966,0.62102,0.673614,0.729257,2497.42,3012.17,0.592826,1.00123,jf,c_only
r,17.8776,0.0180827,0.746475,0.735561,16.6931,17.8535,19.1699,1696.95,2320.04,0.402814,1.00105,jf,c_only
p_lapse,0.0747242,9.83111e-05,0.00501342,0.00512934,0.0663953,0.0746547,0.0828534,2650.38,2412.1,0.629136,1.00199,jf,c_only
c_full[1],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c_full[2],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c_full[3],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c_full[4],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c_full[5],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c_full[6],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c_full[7],-0.675363,0.00110732,0.0432022,0.0429295,-0.742323,-0.677045,-0.600793,1519.69,2079.86,0.360738,1.00213,jf,c_only
c_full[8],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
c_full[9],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
c_full[10],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
c_full[11],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
c_full[12],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
c_full[13],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
c_full[14],0.510227,0.00092624,0.0345233,0.0357964,0.456796,0.508604,0.569768,1373.62,1864.3,0.326064,1.00394,jf,c_only
B_full[1],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[2],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[3],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[4],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[5],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[6],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[7],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[8],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[9],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[10],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[11],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[12],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[13],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
B_full[14],4.6504,0.00538286,0.220199,0.220123,4.28725,4.65437,5.0075,1678.87,2371.92,0.398523,1.0011,jf,c_only
d_full[1],0.763324,0.000582456,0.0310273,0.0307695,0.713681,0.763328,0.814298,2858.71,2635.01,0.678589,1.00061,jf,c_only
d_full[2],0.407153,0.000416723,0.0240486,0.0236813,0.367205,0.406972,0.446979,3403.41,2577.83,0.807887,1.00151,jf,c_only
d_full[3],0.0658029,0.000463876,0.0219534,0.0220086,0.028403,0.0659553,0.101243,2241.87,1110.29,0.532165,1.0021,jf,c_only
d_full[4],0.0292484,0.000368659,0.0200039,0.020421,0.00264526,0.0260823,0.0664524,1607.1,846.04,0.381485,1.00148,jf,c_only
d_full[5],0.189991,0.000411357,0.023993,0.0233285,0.150647,0.189486,0.230262,3398.88,2567.77,0.806812,1.00062,jf,c_only
d_full[6],0.46449,0.000493216,0.0262529,0.0269478,0.420712,0.464279,0.507972,2855.42,2474.44,0.677807,1.00056,jf,c_only
d_full[7],0.67416,0.000660323,0.0328915,0.0333966,0.62102,0.673614,0.729257,2497.42,3012.17,0.592826,1.00123,jf,c_only
d_full[8],0.763324,0.000582456,0.0310273,0.0307695,0.713681,0.763328,0.814298,2858.71,2635.01,0.678589,1.00061,jf,c_only
d_full[9],0.407153,0.000416723,0.0240486,0.0236813,0.367205,0.406972,0.446979,3403.41,2577.83,0.807887,1.00151,jf,c_only
d_full[10],0.0658029,0.000463876,0.0219534,0.0220086,0.028403,0.0659553,0.101243,2241.87,1110.29,0.532165,1.0021,jf,c_only
d_full[11],0.0292484,0.000368659,0.0200039,0.020421,0.00264526,0.0260823,0.0664524,1607.1,846.04,0.381485,1.00148,jf,c_only
d_full[12],0.189991,0.000411357,0.023993,0.0233285,0.150647,0.189486,0.230262,3398.88,2567.77,0.806812,1.00062,jf,c_only
d_full[13],0.46449,0.000493216,0.0262529,0.0269478,0.420712,0.464279,0.507972,2855.42,2474.44,0.677807,1.00056,jf,c_only
