param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,-290.14,30.5463,142.652,63.0893,-562.613,-251.364,-172.245,5.82067,2000.0,0.00257024,1.82472,jf,t0_only
c,-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
B,1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
t0[1],0.0121983,0.00265457,0.00972949,0.00368112,0.0052549,0.00936168,0.0390438,6.15894,2000.0,0.00271961,1.71784,jf,t0_only
t0[2],0.230219,0.000159602,0.000693798,0.000429428,0.229231,0.230183,0.231863,11.3655,2000.0,0.00501869,1.25625,jf,t0_only
d_base[1],1.48525,0.052915,0.143552,0.169347,1.2855,1.47466,1.73041,6.03402,2000.0,0.00266444,1.77587,jf,t0_only
d_base[2],1.23035,0.112069,0.169251,0.105288,0.916186,1.30413,1.41873,4.64749,2000.0,0.0020522,2.79181,jf,t0_only
d_base[3],0.489648,0.0505183,0.146992,0.120475,0.337089,0.466572,0.801772,5.55407,2000.0,0.00245251,1.94201,jf,t0_only
d_base[4],0.436668,0.133865,0.22978,0.215861,0.154531,0.34064,0.86614,4.7982,2000.0,0.00211875,2.52218,jf,t0_only
d_base[5],0.649524,0.0741238,0.154072,0.172983,0.425143,0.628636,0.917564,5.31818,2000.0,0.00234835,2.04606,jf,t0_only
d_base[6],1.27804,0.0866332,0.129048,0.0679123,1.01677,1.32493,1.39333,5.41939,2000.0,0.00239304,2.04827,jf,t0_only
d_base[7],1.50126,0.0645755,0.130293,0.0959296,1.277,1.4963,1.75714,5.16474,2000.0,0.0022806,2.16375,jf,t0_only
r,5.5815,0.513834,1.12748,0.977372,3.67969,5.51626,7.54805,5.58643,2000.0,0.0024668,1.91032,jf,t0_only
p_lapse,0.170794,0.0124636,0.0326437,0.0148239,0.0953986,0.180056,0.199083,6.05363,2000.0,0.00267311,1.74881,jf,t0_only
c_full[1],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[2],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[3],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[4],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[5],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[6],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[7],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[8],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[9],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[10],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[11],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[12],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[13],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
c_full[14],-0.456173,0.0231588,0.0581876,0.0295584,-0.508281,-0.474593,-0.329302,6.42602,2000.0,0.00283754,1.65103,jf,t0_only
B_full[1],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[2],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[3],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[4],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[5],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[6],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[7],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[8],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[9],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[10],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[11],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[12],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[13],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
B_full[14],1.70123,0.136527,0.31601,0.274882,1.11266,1.70516,2.20897,5.48186,2000.0,0.00242063,1.96,jf,t0_only
d_full[1],1.48525,0.052915,0.143552,0.169347,1.2855,1.47466,1.73041,6.03402,2000.0,0.00266444,1.77587,jf,t0_only
d_full[2],1.23035,0.112069,0.169251,0.105288,0.916186,1.30413,1.41873,4.64749,2000.0,0.0020522,2.79181,jf,t0_only
d_full[3],0.489648,0.0505183,0.146992,0.120475,0.337089,0.466572,0.801772,5.55407,2000.0,0.00245251,1.94201,jf,t0_only
d_full[4],0.436668,0.133865,0.22978,0.215861,0.154531,0.34064,0.86614,4.7982,2000.0,0.00211875,2.52218,jf,t0_only
d_full[5],0.649524,0.0741238,0.154072,0.172983,0.425143,0.628636,0.917564,5.31818,2000.0,0.00234835,2.04606,jf,t0_only
d_full[6],1.27804,0.0866332,0.129048,0.0679123,1.01677,1.32493,1.39333,5.41939,2000.0,0.00239304,2.04827,jf,t0_only
d_full[7],1.50126,0.0645755,0.130293,0.0959296,1.277,1.4963,1.75714,5.16474,2000.0,0.0022806,2.16375,jf,t0_only
d_full[8],1.48525,0.052915,0.143552,0.169347,1.2855,1.47466,1.73041,6.03402,2000.0,0.00266444,1.77587,jf,t0_only
d_full[9],1.23035,0.112069,0.169251,0.105288,0.916186,1.30413,1.41873,4.64749,2000.0,0.0020522,2.79181,jf,t0_only
d_full[10],0.489648,0.0505183,0.146992,0.120475,0.337089,0.466572,0.801772,5.55407,2000.0,0.00245251,1.94201,jf,t0_only
d_full[11],0.436668,0.133865,0.22978,0.215861,0.154531,0.34064,0.86614,4.7982,2000.0,0.00211875,2.52218,jf,t0_only
d_full[12],0.649524,0.0741238,0.154072,0.172983,0.425143,0.628636,0.917564,5.31818,2000.0,0.00234835,2.04606,jf,t0_only
d_full[13],1.27804,0.0866332,0.129048,0.0679123,1.01677,1.32493,1.39333,5.41939,2000.0,0.00239304,2.04827,jf,t0_only
d_full[14],1.50126,0.0645755,0.130293,0.0959296,1.277,1.4963,1.75714,5.16474,2000.0,0.0022806,2.16375,jf,t0_only
pk[1],0.88375,0.00912143,0.0179502,0.0169471,0.853661,0.886759,0.909405,6.09066,2000.0,0.00268946,1.74952,jf,t0_only
pk[2],0.85633,0.0178679,0.0276174,0.0188456,0.805584,0.867646,0.887218,4.87764,2000.0,0.00215382,2.41856,jf,t0_only
pk[3],0.757838,0.0116839,0.0215121,0.0209441,0.715973,0.759823,0.791393,5.77158,2000.0,0.00254856,1.84758,jf,t0_only
pk[4],0.748238,0.0259115,0.0397027,0.0369987,0.683097,0.744284,0.819126,4.50434,2000.0,0.00198898,3.09848,jf,t0_only
pk[5],0.781553,0.0168274,0.0280119,0.0271147,0.730971,0.786842,0.823937,4.98864,2000.0,0.00220284,2.32057,jf,t0_only
pk[6],0.862055,0.0144498,0.023305,0.0120958,0.817133,0.87242,0.884715,5.61692,2000.0,0.00248027,1.89885,jf,t0_only
pk[7],0.885097,0.0105551,0.0200503,0.0140855,0.849341,0.888971,0.910118,5.24893,2000.0,0.00231777,2.10252,jf,t0_only
pk[8],0.88375,0.00912143,0.0179502,0.0169471,0.853661,0.886759,0.909405,6.09066,2000.0,0.00268946,1.74952,jf,t0_only
pk[9],0.85633,0.0178679,0.0276174,0.0188456,0.805584,0.867646,0.887218,4.87764,2000.0,0.00215382,2.41856,jf,t0_only
