param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,602.035,0.072752,2.5883,2.53852,597.255,602.345,605.634,1344.59,2017.72,0.289768,1.00113,jf,c_only_no_r
c[1],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c[2],0.583963,0.00100613,0.0297641,0.0289149,0.543593,0.578664,0.640174,924.328,1192.81,0.199199,1.00184,jf,c_only_no_r
B,1.5993,0.00189938,0.0550918,0.0553094,1.49387,1.61024,1.6691,877.834,1307.94,0.189179,1.00186,jf,c_only_no_r
t0,0.0152019,0.000384854,0.0111666,0.0113158,0.00110121,0.0129828,0.0368233,860.992,1294.07,0.185549,1.00222,jf,c_only_no_r
d_base[1],0.945551,0.000680826,0.0379732,0.0379976,0.881907,0.945775,1.00693,3136.83,1961.24,0.676007,1.00105,jf,c_only_no_r
d_base[2],0.547321,0.000591888,0.0361016,0.0360115,0.488532,0.547094,0.606915,3747.3,2684.72,0.807566,0.999503,jf,c_only_no_r
d_base[3],0.0816372,0.000724444,0.034937,0.035851,0.0245447,0.0812571,0.14077,2087.75,921.351,0.449922,1.00259,jf,c_only_no_r
d_base[4],0.0411417,0.000531371,0.0289377,0.0293773,0.00366906,0.0353706,0.0946921,2015.1,1142.38,0.434267,1.00136,jf,c_only_no_r
d_base[5],0.307695,0.000650292,0.0373513,0.0374452,0.246299,0.308348,0.368517,3531.21,1645.63,0.760998,1.00301,jf,c_only_no_r
d_base[6],0.668829,0.000658198,0.0377634,0.0379076,0.606227,0.66968,0.729901,3404.4,2578.76,0.733669,0.999533,jf,c_only_no_r
d_base[7],0.990481,0.000727926,0.0443635,0.0443246,0.916991,0.991046,1.06453,3726.09,2548.42,0.802995,1.00049,jf,c_only_no_r
p_lapse,0.0173536,8.09868e-05,0.00397228,0.00403674,0.0111292,0.0172427,0.0242964,2342.37,2173.72,0.504794,1.00032,jf,c_only_no_r
r,5.0,,0.0,0.0,5.0,5.0,5.0,,,,,jf,c_only_no_r
c_full[1],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c_full[2],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c_full[3],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c_full[4],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c_full[5],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c_full[6],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c_full[7],-1.22579,0.0009014,0.0281561,0.0272953,-1.26572,-1.2295,-1.17475,1039.33,1423.42,0.223983,1.00129,jf,c_only_no_r
c_full[8],0.583963,0.00100613,0.0297641,0.0289149,0.543593,0.578664,0.640174,924.328,1192.81,0.199199,1.00184,jf,c_only_no_r
c_full[9],0.583963,0.00100613,0.0297641,0.0289149,0.543593,0.578664,0.640174,924.328,1192.81,0.199199,1.00184,jf,c_only_no_r
c_full[10],0.583963,0.00100613,0.0297641,0.0289149,0.543593,0.578664,0.640174,924.328,1192.81,0.199199,1.00184,jf,c_only_no_r
