"id","session","block","trial","instruction","source","strength","response","response_num","correct","rt","outlier"
"jf",2,1,21,"accuracy","dark",8,"dark",1,TRUE,0.801,FALSE
"jf",2,1,22,"accuracy","dark",7,"dark",1,TRUE,0.68,FALSE
"jf",2,1,23,"accuracy","light",19,"light",2,TRUE,0.694,FALSE
"jf",2,1,24,"accuracy","dark",21,"light",2,FALSE,0.582,FALSE
"jf",2,1,25,"accuracy","light",19,"dark",1,FALSE,0.925,FALSE
"jf",2,1,26,"accuracy","dark",10,"dark",1,TRUE,0.605,FALSE
"jf",2,1,27,"accuracy","light",20,"light",2,TRUE,0.626,FALSE
"jf",2,1,28,"accuracy","dark",14,"dark",1,TRUE,0.736,FALSE
"jf",2,1,29,"accuracy","light",10,"dark",1,FALSE,0.662,FALSE
"jf",2,1,30,"accuracy","light",15,"light",2,TRUE,0.8,FALSE
"jf",2,1,31,"accuracy","light",27,"light",2,TRUE,0.563,FALSE
"jf",2,1,32,"accuracy","dark",13,"dark",1,TRUE,0.685,FALSE
"jf",2,1,33,"accuracy","light",23,"light",2,TRUE,0.625,FALSE
"jf",2,1,34,"accuracy","dark",7,"dark",1,TRUE,0.618,FALSE
"jf",2,1,35,"accuracy","dark",8,"dark",1,TRUE,0.911,FALSE
"jf",2,1,36,"accuracy","dark",13,"dark",1,TRUE,0.794,FALSE
"jf",2,1,37,"accuracy","light",18,"light",2,TRUE,0.558,FALSE
"jf",2,1,38,"accuracy","light",19,"light",2,TRUE,0.532,FALSE
"jf",2,1,39,"accuracy","light",22,"light",2,TRUE,0.482,FALSE
"jf",2,1,40,"accuracy","light",12,"dark",1,FALSE,0.604,FALSE
"jf",2,1,41,"accuracy","light",16,"dark",1,FALSE,0.986,FALSE
"jf",2,1,42,"accuracy","light",10,"dark",1,FALSE,0.622,FALSE
"jf",2,1,43,"accuracy","light",15,"light",2,TRUE,0.732,FALSE
"jf",2,1,44,"accuracy","dark",19,"light",2,FALSE,0.529,FALSE
"jf",2,1,45,"accuracy","dark",8,"dark",1,TRUE,0.578,FALSE
"jf",2,1,46,"accuracy","light",13,"light",2,TRUE,1.85,FALSE
"jf",2,1,47,"accuracy","dark",7,"dark",1,TRUE,1.03,FALSE
"jf",2,1,48,"accuracy","light",20,"light",2,TRUE,0.989,FALSE
"jf",2,1,49,"accuracy","dark",18,"light",2,FALSE,1.01,FALSE
"jf",2,1,50,"accuracy","light",19,"light",2,TRUE,1.318,FALSE
"jf",2,1,51,"accuracy","light",20,"light",2,TRUE,1.373,FALSE
"jf",2,1,52,"accuracy","dark",21,"light",2,FALSE,1.308,FALSE
"jf",2,1,53,"accuracy","dark",3,"dark",1,TRUE,0.743,FALSE
"jf",2,1,54,"accuracy","dark",14,"light",2,FALSE,1.948,FALSE
"jf",2,1,55,"accuracy","light",18,"light",2,TRUE,1.498,FALSE
"jf",2,1,56,"accuracy","dark",10,"dark",1,TRUE,0.783,FALSE
"jf",2,1,57,"accuracy","dark",11,"dark",1,TRUE,0.911,FALSE
"jf",2,1,58,"accuracy","dark",8,"dark",1,TRUE,0.73,FALSE
"jf",2,1,59,"accuracy","light",19,"light",2,TRUE,0.691,FALSE
"jf",2,1,60,"accuracy","dark",13,"dark",1,TRUE,0.867,FALSE
"jf",2,1,61,"accuracy","light",12,"dark",1,FALSE,0.861,FALSE
"jf",2,1,62,"accuracy","light",25,"light",2,TRUE,0.767,FALSE
"jf",2,1,63,"accuracy","dark",8,"dark",1,TRUE,0.767,FALSE
"jf",2,1,64,"accuracy","dark",3,"dark",1,TRUE,0.729,FALSE
"jf",2,1,65,"accuracy","light",7,"dark",1,FALSE,0.96,FALSE
"jf",2,1,66,"accuracy","dark",13,"light",2,FALSE,1.379,FALSE
"jf",2,1,67,"accuracy","light",13,"dark",1,FALSE,1.537,FALSE
"jf",2,1,68,"accuracy","light",22,"light",2,TRUE,0.583,FALSE
"jf",2,1,69,"accuracy","light",11,"dark",1,FALSE,0.601,FALSE
"jf",2,1,70,"accuracy","light",27,"light",2,TRUE,0.635,FALSE
"jf",2,1,71,"accuracy","light",21,"light",2,TRUE,1.323,FALSE
"jf",2,1,72,"accuracy","light",22,"light",2,TRUE,1.111,FALSE
"jf",2,1,73,"accuracy","light",17,"light",2,TRUE,1.257,FALSE
"jf",2,1,74,"accuracy","dark",6,"dark",1,TRUE,0.668,FALSE
"jf",2,1,75,"accuracy","dark",10,"dark",1,TRUE,0.679,FALSE
"jf",2,1,76,"accuracy","light",17,"light",2,TRUE,0.973,FALSE
"jf",2,1,77,"accuracy","light",24,"light",2,TRUE,0.58,FALSE
"jf",2,1,78,"accuracy","dark",18,"light",2,FALSE,0.963,FALSE
"jf",2,1,79,"accuracy","light",19,"dark",1,FALSE,1.436,FALSE
"jf",2,1,80,"accuracy","dark",11,"dark",1,TRUE,0.589,FALSE
"jf",2,1,81,"accuracy","dark",4,"dark",1,TRUE,0.58,FALSE
"jf",2,1,82,"accuracy","light",6,"dark",1,FALSE,1.045,FALSE
"jf",2,1,83,"accuracy","dark",20,"light",2,FALSE,0.749,FALSE
"jf",2,1,84,"accuracy","light",17,"dark",1,FALSE,1.802,FALSE
"jf",2,1,85,"accuracy","light",31,"light",2,TRUE,0.633,FALSE
"jf",2,1,86,"accuracy","light",11,"dark",1,FALSE,1.016,FALSE
"jf",2,1,87,"accuracy","light",19,"light",2,TRUE,0.799,FALSE
"jf",2,1,88,"accuracy","dark",15,"light",2,FALSE,0.747,FALSE
"jf",2,1,89,"accuracy","light",19,"light",2,TRUE,2.341,FALSE
"jf",2,1,90,"accuracy","light",18,"light",2,TRUE,2.747,TRUE
"jf",2,1,91,"accuracy","light",24,"light",2,TRUE,0.795,FALSE
"jf",2,1,92,"accuracy","dark",21,"dark",1,TRUE,1.38,FALSE
"jf",2,1,93,"accuracy","light",27,"light",2,TRUE,0.709,FALSE
"jf",2,1,94,"accuracy","light",31,"light",2,TRUE,0.995,FALSE
"jf",2,1,95,"accuracy","dark",7,"dark",1,TRUE,0.669,FALSE
"jf",2,1,96,"accuracy","light",23,"light",2,TRUE,1.238,FALSE
"jf",2,1,97,"accuracy","light",17,"light",2,TRUE,0.63,FALSE
"jf",2,1,98,"accuracy","light",17,"dark",1,FALSE,1.38,FALSE
"jf",2,1,99,"accuracy","dark",6,"dark",1,TRUE,0.573,FALSE
"jf",2,1,100,"accuracy","light",9,"dark",1,FALSE,0.696,FALSE
"jf",2,1,101,"accuracy","dark",2,"dark",1,TRUE,0.689,FALSE
"jf",2,1,102,"accuracy","dark",9,"light",2,FALSE,0.726,FALSE
"jf",2,2,2,"accuracy","light",21,"light",2,TRUE,1.989,FALSE
"jf",2,2,3,"accuracy","dark",15,"dark",1,TRUE,2.14,FALSE
"jf",2,2,4,"accuracy","light",24,"light",2,TRUE,1.65,FALSE
"jf",2,2,5,"accuracy","dark",19,"dark",1,TRUE,2.257,FALSE
"jf",2,2,6,"accuracy","light",25,"light",2,TRUE,2.179,FALSE
"jf",2,2,7,"accuracy","dark",8,"dark",1,TRUE,1.198,FALSE
"jf",2,2,8,"accuracy","dark",5,"dark",1,TRUE,1.392,FALSE
"jf",2,2,9,"accuracy","light",19,"light",2,TRUE,1.453,FALSE
"jf",2,2,10,"accuracy","dark",1,"dark",1,TRUE,1.446,FALSE
"jf",2,2,11,"accuracy","light",20,"light",2,TRUE,1.817,FALSE
"jf",2,2,12,"accuracy","dark",4,"dark",1,TRUE,1.363,FALSE
"jf",2,2,13,"accuracy","light",19,"light",2,TRUE,1.486,FALSE
"jf",2,2,14,"accuracy","dark",23,"light",2,FALSE,1.094,FALSE
"jf",2,2,15,"accuracy","light",18,"light",2,TRUE,2.739,TRUE
"jf",2,2,16,"accuracy","light",20,"dark",1,FALSE,2.338,FALSE
"jf",2,2,17,"accuracy","light",12,"dark",1,FALSE,0.806,FALSE
