participant_id,model,n_divergent,pct_divergent,mean_treedepth,max_treedepth,mean_n_leapfrog,max_rhat,min_ess_bulk
jf,c_B,0,0.0,6.962,9.0,158.48,1.00627,974.266
kr,c_B,0,0.0,6.4445,8.0,113.376,1.00691,1122.1
nh,c_B,0,0.0,6.37075,8.0,109.078,1.00334,1293.91
jf,c_t0,0,0.0,7.181,9.0,192.952,1.00552,1419.14
kr,c_t0,0,0.0,6.46725,8.0,112.246,1.00506,1236.6
nh,c_t0,0,0.0,6.5495,8.0,118.881,1.00604,1537.42
jf,d_B,0,0.0,5.73125,8.0,70.572,1.00801,682.91
kr,d_B,0,0.0,5.7825,8.0,74.165,1.00725,696.804
nh,d_B,0,0.0,5.84,8.0,70.905,1.00707,558.429
jf,d_t0,3871,0.96775,6.1595,10.0,202.773,1.99307,5.41874
kr,d_t0,1454,0.3635,5.7415,8.0,84.6605,1.01929,300.433
nh,d_t0,0,0.0,6.37,8.0,113.28,1.00295,946.322
