index,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,participant_id
rr98_fits/idata/c_t0,0,1327.4701697060073,13.647254015058024,0.0,0.8088896749192298,107.58694154044942,0.0,False,log,jf
rr98_fits/idata/c_B,1,1309.3122956049297,13.945434296053918,18.157874101077535,2.0091065978532164e-06,107.35437236196125,3.2021018448529506,False,log,jf
Only1par/rr98_fits/idata/c_only,2,1305.9763371855079,12.163278534376786,21.493832520499634,0.17151171776063268,107.24191794253865,7.813127334168259,False,log,jf
rr98_fits/idata/d_B,3,887.7859266413445,15.477824783878873,439.6842430646626,0.01959828873635754,107.81902656971843,29.933935811250283,False,log,jf
Only1par/rr98_fits/idata/B_only,4,844.7148423990535,13.531236917476463,482.7553273069537,2.0798783199135233e-06,106.53880655151912,28.330431028710592,False,log,jf
Only1par/rr98_fits_no_r/idata/c_only_no_r,5,632.9718634971923,10.594480267064796,694.4983062088149,1.6338579267887594e-06,98.80573685367318,33.035706799060144,False,log,jf
Only1par/rr98_fits/idata/t0_only,6,-328.1636508701024,119.6963252804992,1655.6338205761094,2.476461965229221e-06,107.62127516966392,54.94060271978959,True,log,jf
rr98_fits/idata/d_t0,7,-368.0892787872474,344.06828270089466,1695.5594484932546,2.270293632601949e-06,114.01445483312506,53.75401102945116,True,log,jf
Only1par/rr98_fits/idata/d_only,8,-1025.4294502299617,10.171590757621061,2352.8996199359685,0.0,90.18732744094156,52.85571062412002,False,log,jf
rr98_fits/idata/c_t0,0,1065.2990131621902,15.55130856086248,0.0,0.5452331849072655,116.81324281258082,0.0,False,log,kr
rr98_fits/idata/c_B,1,1046.9169472976268,15.133633773727297,18.38206586456311,0.004346645764158817,116.67451764245598,2.9106366976512064,False,log,kr
Only1par/rr98_fits/idata/c_only,2,1041.8936348527664,13.841615963093545,23.4053783094238,0.30443602516820306,116.46566992825925,6.72264369985027,False,log,kr
Only1par/rr98_fits/idata/B_only,3,488.7198733901794,14.717699585250443,576.5791397720106,0.003520576196839476,114.00401550538304,34.425251720901635,False,log,kr
rr98_fits/idata/d_B,4,488.2334770335224,18.123972887956597,577.0655361286675,0.003897295382875483,114.34861162948279,35.47911452789675,False,log,kr
Only1par/rr98_fits_no_r/idata/c_only_no_r,5,429.30834398898475,14.00107569766709,635.9906691732054,0.00411515818514315,107.68968010141033,32.79076934754628,False,log,kr
rr98_fits/idata/d_t0,6,-179.46726726067016,15.276222185689107,1244.7662804228603,0.14876585386806068,114.86055104775399,60.95568400483868,False,log,kr
Only1par/rr98_fits/idata/t0_only,7,-202.89860743298516,12.816589232046454,1268.1976205951753,0.004793678050446237,113.79026514949311,60.445405369538214,False,log,kr
Only1par/rr98_fits/idata/d_only,8,-1069.585716879012,10.99760434973382,2134.8847300412017,0.0,97.24409542306269,53.188859159798746,False,log,kr
rr98_fits/idata/c_t0,0,2222.068927806146,14.532380566361553,0.0,0.37526068825374587,114.61261581203274,0.0,False,log,nh
rr98_fits/idata/c_B,1,2213.0649527366822,14.906530197606571,9.00397506946347,1.4334568836662213e-09,114.57067239336304,1.8032006343579396,False,log,nh
Only1par/rr98_fits/idata/c_only,2,2211.1197828977656,13.456780910239559,10.949144908379344,0.5075700766870227,114.32386427257421,5.282370474897808,False,log,nh
rr98_fits/idata/d_B,3,1871.2830289126773,14.920775128594414,350.7858988934683,1.2676472331653327e-09,115.2921638010672,27.587290855557537,False,log,nh
Only1par/rr98_fits/idata/B_only,4,1851.5566927993505,13.624244522078016,370.5122350067948,4.266678313844549e-10,114.50333379649028,25.909332884991706,False,log,nh
Only1par/rr98_fits_no_r/idata/c_only_no_r,5,1637.3859667134238,13.513521769338467,584.6829610927216,4.956780516942869e-10,104.7859047886747,30.07730747611753,False,log,nh
rr98_fits/idata/d_t0,6,1453.5999137250544,14.879906372785854,768.4690140810912,0.11716923458223631,116.22044946076892,43.987700394083326,False,log,nh
Only1par/rr98_fits/idata/t0_only,7,1421.0607110942049,13.274127429656119,801.0082167119406,2.2413008520581324e-09,114.84829949394921,42.597802025290285,False,log,nh
Only1par/rr98_fits/idata/d_only,8,437.33760143364304,13.66469045950521,1784.7313263725025,0.0,111.85205058400398,56.21443800928738,False,log,nh
