param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,1271.0,0.0802645,2.80329,2.6649,1265.89,1271.41,1274.95,1308.8,1887.17,0.348484,1.00331,jf,c_B
c[1],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c[2],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
B[1],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B[2],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
t0,0.0483211,0.000315581,0.0119208,0.0124746,0.0280317,0.0486508,0.0672329,1447.53,1546.6,0.385424,1.00262,jf,c_B
d_base[1],0.945278,0.00123595,0.0479405,0.0481106,0.868102,0.94504,1.02265,1513.03,2280.97,0.402865,1.00089,jf,c_B
d_base[2],0.49948,0.000744218,0.03331,0.0336508,0.445514,0.499043,0.554038,2027.08,2500.16,0.539735,1.00126,jf,c_B
d_base[3],0.0784015,0.000498038,0.0268347,0.0273601,0.0348023,0.0780508,0.123545,2760.25,1246.36,0.734952,1.00457,jf,c_B
d_base[4],0.0367396,0.00048969,0.0251067,0.0266575,0.00323803,0.0332081,0.0820223,1750.38,1190.73,0.466062,1.00081,jf,c_B
d_base[5],0.240787,0.000639697,0.0309663,0.0308895,0.190163,0.241209,0.290544,2391.38,2046.12,0.636735,1.0005,jf,c_B
d_base[6],0.576234,0.000869275,0.0373296,0.0376654,0.514575,0.576362,0.63843,1834.29,2303.29,0.488403,1.00214,jf,c_B
d_base[7],0.841782,0.00125498,0.0483672,0.0478061,0.761571,0.842095,0.921933,1497.56,2389.31,0.398746,1.00278,jf,c_B
r,12.8061,0.0257726,0.812227,0.793578,11.4937,12.7551,14.1614,1002.22,1634.33,0.266854,1.00598,jf,c_B
p_lapse,0.078694,9.90537e-05,0.00531823,0.00545687,0.0703574,0.0785941,0.087424,2893.63,2856.77,0.770467,1.00055,jf,c_B
c_full[1],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c_full[2],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c_full[3],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c_full[4],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c_full[5],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c_full[6],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c_full[7],-0.749585,0.00109491,0.0426337,0.0434998,-0.818673,-0.749978,-0.679525,1531.18,1956.35,0.407695,1.0038,jf,c_B
c_full[8],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
c_full[9],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
c_full[10],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
c_full[11],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
c_full[12],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
c_full[13],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
c_full[14],0.29581,0.00123737,0.0464168,0.0463983,0.221525,0.294469,0.37507,1439.94,1833.06,0.383402,1.00402,jf,c_B
B_full[1],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B_full[2],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B_full[3],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B_full[4],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B_full[5],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B_full[6],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B_full[7],3.21304,0.00748841,0.241809,0.239965,2.84086,3.20258,3.63448,1034.25,1665.18,0.275384,1.00406,jf,c_B
B_full[8],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
B_full[9],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
B_full[10],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
B_full[11],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
B_full[12],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
B_full[13],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
B_full[14],4.0191,0.00594578,0.201425,0.202077,3.70155,4.01308,4.35822,1143.93,1729.84,0.304586,1.00271,jf,c_B
d_full[1],0.945278,0.00123595,0.0479405,0.0481106,0.868102,0.94504,1.02265,1513.03,2280.97,0.402865,1.00089,jf,c_B
d_full[2],0.49948,0.000744218,0.03331,0.0336508,0.445514,0.499043,0.554038,2027.08,2500.16,0.539735,1.00126,jf,c_B
d_full[3],0.0784015,0.000498038,0.0268347,0.0273601,0.0348023,0.0780508,0.123545,2760.25,1246.36,0.734952,1.00457,jf,c_B
d_full[4],0.0367396,0.00048969,0.0251067,0.0266575,0.00323803,0.0332081,0.0820223,1750.38,1190.73,0.466062,1.00081,jf,c_B
