param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,1290.27,0.0766149,2.81008,2.71672,1285.16,1290.66,1294.28,1430.33,1707.98,0.336336,1.00063,jf,c_t0
c[1],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c[2],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
B,3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
t0[1],0.0400327,0.000304917,0.0114141,0.0112528,0.0201496,0.0405827,0.0579776,1431.42,1456.39,0.336592,1.00345,jf,c_t0
t0[2],0.121566,0.000348795,0.0135977,0.0135147,0.0988012,0.122328,0.143209,1559.81,1369.9,0.366783,1.00301,jf,c_t0
d_base[1],0.98748,0.000918708,0.0443793,0.0440841,0.915386,0.986215,1.0609,2338.53,2462.53,0.549895,1.00194,jf,c_t0
d_base[2],0.527371,0.000694116,0.033322,0.0335564,0.473297,0.527002,0.582488,2317.79,2647.9,0.545018,1.00385,jf,c_t0
d_base[3],0.082033,0.000619116,0.0287515,0.0287395,0.0342207,0.0819713,0.129919,2119.54,1194.24,0.4984,1.00119,jf,c_t0
d_base[4],0.0390851,0.000489336,0.0250979,0.026636,0.00464939,0.0360454,0.0846815,1841.76,1052.51,0.433082,1.00053,jf,c_t0
d_base[5],0.255019,0.000629134,0.0315284,0.0307972,0.203538,0.254916,0.30583,2546.04,1794.14,0.598692,1.00129,jf,c_t0
d_base[6],0.606667,0.000766587,0.0358155,0.0350334,0.548337,0.606405,0.668363,2172.57,2533.56,0.510872,1.00301,jf,c_t0
d_base[7],0.88689,0.000973387,0.0479168,0.0477628,0.808393,0.886653,0.965363,2456.58,2335.15,0.577655,1.00097,jf,c_t0
r,12.2762,0.0167967,0.657533,0.646045,11.2651,12.254,13.4088,1580.61,1576.23,0.371675,1.00456,jf,c_t0
p_lapse,0.0768165,9.55929e-05,0.00521091,0.00515858,0.0681545,0.0767061,0.0856715,2984.52,2445.89,0.701798,1.00128,jf,c_t0
c_full[1],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c_full[2],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c_full[3],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c_full[4],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c_full[5],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c_full[6],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c_full[7],-0.782078,0.00108483,0.0419626,0.0426533,-0.852146,-0.782408,-0.711669,1499.82,1697.14,0.352676,1.00205,jf,c_t0
c_full[8],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
c_full[9],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
c_full[10],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
c_full[11],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
c_full[12],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
c_full[13],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
c_full[14],0.399734,0.00100773,0.0381887,0.0392436,0.335531,0.40007,0.461837,1449.05,1497.66,0.340737,1.00237,jf,c_t0
B_full[1],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[2],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[3],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[4],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[5],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[6],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[7],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[8],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[9],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[10],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[11],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[12],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[13],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
B_full[14],3.19786,0.00479186,0.185727,0.185811,2.91048,3.18691,3.51901,1564.62,1600.76,0.367913,1.00403,jf,c_t0
d_full[1],0.98748,0.000918708,0.0443793,0.0440841,0.915386,0.986215,1.0609,2338.53,2462.53,0.549895,1.00194,jf,c_t0
d_full[2],0.527371,0.000694116,0.033322,0.0335564,0.473297,0.527002,0.582488,2317.79,2647.9,0.545018,1.00385,jf,c_t0
d_full[3],0.082033,0.000619116,0.0287515,0.0287395,0.0342207,0.0819713,0.129919,2119.54,1194.24,0.4984,1.00119,jf,c_t0
d_full[4],0.0390851,0.000489336,0.0250979,0.026636,0.00464939,0.0360454,0.0846815,1841.76,1052.51,0.433082,1.00053,jf,c_t0
d_full[5],0.255019,0.000629134,0.0315284,0.0307972,0.203538,0.254916,0.30583,2546.04,1794.14,0.598692,1.00129,jf,c_t0
d_full[6],0.606667,0.000766587,0.0358155,0.0350334,0.548337,0.606405,0.668363,2172.57,2533.56,0.510872,1.00301,jf,c_t0
d_full[7],0.88689,0.000973387,0.0479168,0.0477628,0.808393,0.886653,0.965363,2456.58,2335.15,0.577655,1.00097,jf,c_t0
d_full[8],0.98748,0.000918708,0.0443793,0.0440841,0.915386,0.986215,1.0609,2338.53,2462.53,0.549895,1.00194,jf,c_t0
d_full[9],0.527371,0.000694116,0.033322,0.0335564,0.473297,0.527002,0.582488,2317.79,2647.9,0.545018,1.00385,jf,c_t0
d_full[10],0.082033,0.000619116,0.0287515,0.0287395,0.0342207,0.0819713,0.129919,2119.54,1194.24,0.4984,1.00119,jf,c_t0
d_full[11],0.0390851,0.000489336,0.0250979,0.026636,0.00464939,0.0360454,0.0846815,1841.76,1052.51,0.433082,1.00053,jf,c_t0
d_full[12],0.255019,0.000629134,0.0315284,0.0307972,0.203538,0.254916,0.30583,2546.04,1794.14,0.598692,1.00129,jf,c_t0
d_full[13],0.606667,0.000766587,0.0358155,0.0350334,0.548337,0.606405,0.668363,2172.57,2533.56,0.510872,1.00301,jf,c_t0
d_full[14],0.88689,0.000973387,0.0479168,0.0477628,0.808393,0.886653,0.965363,2456.58,2335.15,0.577655,1.00097,jf,c_t0
pk[1],0.898691,0.000233881,0.00914941,0.0087989,0.882892,0.89907,0.913271,1539.46,1828.67,0.361998,1.00214,jf,c_t0
pk[2],0.851886,0.000287098,0.011134,0.0108463,0.833131,0.852304,0.870028,1509.79,1735.11,0.355021,1.00258,jf,c_t0
pk[3],0.794548,0.000325876,0.0124842,0.0124823,0.773304,0.794871,0.814869,1475.58,1897.79,0.346976,1.00307,jf,c_t0
pk[4],0.78839,0.000314404,0.0127168,0.012746,0.76682,0.788614,0.808662,1627.88,1894.77,0.382789,1.00157,jf,c_t0
pk[5],0.818228,0.000311956,0.0121303,0.0121126,0.797084,0.818546,0.838049,1533.94,1740.97,0.3607,1.00135,jf,c_t0
pk[6],0.860836,0.000283869,0.0109837,0.0108109,0.84191,0.861191,0.878343,1502.99,1818.06,0.353422,1.00289,jf,c_t0
pk[7],0.889488,0.000258358,0.00999677,0.00979558,0.872413,0.889927,0.905084,1524.85,1843.75,0.358563,1.00225,jf,c_t0
pk[8],0.537406,0.000475124,0.0188565,0.0186781,0.507298,0.537193,0.568541,1579.26,2226.72,0.371357,1.00147,jf,c_t0
pk[9],0.445944,0.000450445,0.0173815,0.0173568,0.417711,0.445874,0.474603,1504.53,1696.62,0.353783,1.00196,jf,c_t0
pk[10],0.360012,0.000402389,0.0150802,0.0150201,0.335518,0.359435,0.385115,1422.94,1697.52,0.334598,1.0033,jf,c_t0
pk[11],0.352016,0.000372087,0.0149813,0.0151061,0.327842,0.351834,0.376655,1632.28,2091.76,0.383823,1.00265,jf,c_t0
pk[12],0.392818,0.000418456,0.0161957,0.0161974,0.366176,0.392768,0.419871,1518.11,1805.6,0.356978,1.00119,jf,c_t0
pk[13],0.46164,0.000465825,0.0179096,0.0178667,0.432216,0.461535,0.491909,1498.77,1721.64,0.352431,1.00208,jf,c_t0
pk[14],0.517413,0.000496205,0.0192876,0.0193513,0.485823,0.517647,0.548869,1530.62,2029.01,0.359919,1.00191,jf,c_t0
pf[1],0.613354,0.000395166,0.0164561,0.0164642,0.585459,0.613644,0.640565,1724.64,1875.03,0.405541,1.00177,jf,c_t0
pf[2],0.697749,0.000351924,0.014633,0.0147776,0.673247,0.697568,0.721431,1718.54,2002.46,0.404107,1.00207,jf,c_t0
pf[3],0.770447,0.000334477,0.0135968,0.013501,0.747474,0.770598,0.793198,1637.93,1956.16,0.385152,1.00166,jf,c_t0
pf[4],0.776913,0.000340903,0.013035,0.0129604,0.755091,0.777208,0.798226,1466.33,2014.75,0.344801,1.00219,jf,c_t0
pf[5],0.743426,0.000344525,0.0140713,0.0140484,0.719436,0.743695,0.766927,1668.81,1899.79,0.392414,1.00244,jf,c_t0
pf[6],0.683794,0.000350161,0.0147128,0.0148668,0.659349,0.683969,0.707992,1760.1,1905.02,0.413881,1.00119,jf,c_t0
pf[7],0.632438,0.000369116,0.0162775,0.0162715,0.605397,0.632398,0.658944,1951.71,1976.7,0.458937,1.00124,jf,c_t0
pf[8],0.185998,0.00026873,0.0108548,0.0108612,0.168799,0.185684,0.204325,1648.71,1639.63,0.387687,1.00225,jf,c_t0
pf[9],0.253694,0.000314413,0.0125532,0.0126535,0.233943,0.253089,0.274841,1612.1,1780.76,0.379078,1.00425,jf,c_t0
pf[10],0.329833,0.000374459,0.0149389,0.0148578,0.305341,0.329335,0.354813,1607.13,1732.74,0.37791,1.0015,jf,c_t0
pf[11],0.337629,0.000390152,0.0146172,0.014636,0.314072,0.337503,0.362844,1419.14,1491.07,0.333705,1.0019,jf,c_t0
pf[12],0.299162,0.000352433,0.0140504,0.0142952,0.276714,0.298557,0.322606,1620.4,1895.23,0.38103,1.00205,jf,c_t0
pf[13],0.241173,0.000302093,0.0121575,0.012235,0.221965,0.240952,0.261919,1631.83,1887.99,0.383718,1.00267,jf,c_t0
pf[14],0.199766,0.000274382,0.0116148,0.0115234,0.181659,0.199125,0.219778,1841.91,2021.44,0.433117,1.00299,jf,c_t0
vk[1],11.028,0.0128365,0.51263,0.50234,10.2447,11.0107,11.9089,1638.94,1743.22,0.38539,1.00465,jf,c_t0
vk[2],10.4529,0.0119288,0.476794,0.47315,9.71727,10.4326,11.2627,1660.98,1666.4,0.390574,1.00431,jf,c_t0
vk[3],9.7491,0.0112835,0.447081,0.437375,9.05745,9.73593,10.5112,1626.8,1777.77,0.382534,1.00448,jf,c_t0
vk[4],9.67348,0.011312,0.443451,0.435818,8.98164,9.66052,10.4317,1593.1,1663.7,0.37461,1.00483,jf,c_t0
vk[5],10.0396,0.0114434,0.455943,0.445165,9.3354,10.0201,10.8132,1655.29,1718.35,0.389235,1.00502,jf,c_t0
vk[6],10.5627,0.0119886,0.480546,0.465904,9.81204,10.5484,11.3866,1665.34,1458.78,0.391598,1.0045,jf,c_t0
vk[7],10.9146,0.0125766,0.499316,0.49254,10.1412,10.8966,11.7787,1642.72,1725.54,0.386279,1.0047,jf,c_t0
vk[8],6.5897,0.00621397,0.278672,0.279283,6.14429,6.58188,7.05408,2061.38,2488.21,0.484725,1.00361,jf,c_t0
vk[9],5.46829,0.00574394,0.251533,0.250805,5.0713,5.46263,5.90182,1964.8,2515.51,0.462014,1.00279,jf,c_t0
vk[10],4.4153,0.00559481,0.22862,0.227533,4.05492,4.41053,4.79348,1716.27,1962.3,0.403575,1.00401,jf,c_t0
vk[11],4.31725,0.00548322,0.226193,0.220219,3.95263,4.30935,4.70578,1742.81,2052.45,0.409815,1.00423,jf,c_t0
vk[12],4.81709,0.00552546,0.236101,0.236811,4.44652,4.80665,5.21751,1883.59,2086.85,0.442918,1.00457,jf,c_t0
vk[13],5.66047,0.00568575,0.253116,0.247473,5.25177,5.65023,6.08276,2026.1,2426.37,0.476428,1.0033,jf,c_t0
vk[14],6.34388,0.00596135,0.264643,0.262207,5.9216,6.33743,6.79088,1998.11,2590.84,0.469846,1.00412,jf,c_t0
vf[1],7.52627,0.00997876,0.390537,0.385687,6.92979,7.50853,8.18627,1600.63,1735.89,0.376381,1.00454,jf,c_t0
vf[2],8.56141,0.0105638,0.411026,0.396974,7.92002,8.54453,9.27192,1565.09,1755.73,0.368025,1.00533,jf,c_t0
vf[3],9.45312,0.0110246,0.434573,0.422198,8.7783,9.43476,10.1973,1613.12,1865.24,0.37932,1.00488,jf,c_t0
vf[4],9.53253,0.010962,0.436578,0.429958,8.85626,9.51492,10.2766,1639.33,1809.95,0.385481,1.00449,jf,c_t0
vf[5],9.12179,0.0109157,0.428321,0.423206,8.45632,9.10845,9.85565,1592.08,1685.12,0.374372,1.00424,jf,c_t0
vf[6],8.39045,0.0106142,0.410271,0.406097,7.7571,8.37319,9.08521,1553.84,1705.39,0.365379,1.0049,jf,c_t0
vf[7],7.76092,0.0102906,0.40777,0.400066,7.12747,7.74274,8.4577,1632.58,1882.02,0.383895,1.00414,jf,c_t0
vf[8],2.28253,0.00429017,0.170493,0.163994,2.01056,2.27275,2.57247,1616.29,1828.51,0.380065,1.00416,jf,c_t0
vf[9],3.11232,0.00492041,0.196524,0.193758,2.79371,3.10616,3.44853,1646.32,1916.84,0.387126,1.00526,jf,c_t0
vf[10],4.04521,0.00534646,0.221599,0.219419,3.69055,4.03413,4.42513,1763.14,2060.9,0.414594,1.00382,jf,c_t0
vf[11],4.14081,0.00535415,0.219676,0.224726,3.795,4.13239,4.52218,1739.54,1880.96,0.409047,1.00355,jf,c_t0
vf[12],3.66959,0.00529331,0.215368,0.215282,3.32953,3.6591,4.04002,1686.89,1956.04,0.396666,1.0033,jf,c_t0
vf[13],2.95905,0.00490642,0.194102,0.190606,2.65268,2.95186,3.2914,1592.05,1875.37,0.374364,1.00461,jf,c_t0
vf[14],2.45177,0.00453959,0.18624,0.182458,2.15788,2.44487,2.77238,1752.79,2173.51,0.41216,1.00323,jf,c_t0
sigma_k[1],1.05633,0.00171576,0.0659212,0.0656021,0.95155,1.05492,1.16724,1504.14,1516.65,0.353693,1.00335,jf,c_t0
sigma_k[2],1.24362,0.00172002,0.0658557,0.0646399,1.13753,1.24198,1.35349,1485.62,1725.25,0.349338,1.00399,jf,c_t0
sigma_k[3],1.41459,0.00161776,0.0623146,0.0615258,1.31465,1.41334,1.51857,1511.48,1706.26,0.355417,1.00416,jf,c_t0
sigma_k[4],1.43004,0.00158283,0.0621706,0.0615114,1.3298,1.42863,1.53384,1569.11,1743.36,0.36897,1.0033,jf,c_t0
sigma_k[5],1.35024,0.001671,0.0644188,0.062696,1.24786,1.3496,1.45708,1515.99,1732.69,0.356479,1.003,jf,c_t0
sigma_k[6],1.21174,0.00175041,0.0668295,0.0660761,1.10486,1.21011,1.32444,1474.77,1697.97,0.346786,1.00393,jf,c_t0
sigma_k[7],1.09757,0.00177397,0.0681201,0.0682149,0.991132,1.09547,1.21207,1514.47,1581.25,0.356121,1.00331,jf,c_t0
sigma_k[8],1.74516,0.00128047,0.049739,0.0488555,1.66483,1.74489,1.82863,1545.32,1549.16,0.363375,1.00436,jf,c_t0
sigma_k[9],1.7398,0.00108246,0.0432123,0.042967,1.67193,1.73915,1.81256,1637.62,1561.67,0.385079,1.00444,jf,c_t0
sigma_k[10],1.68013,0.00100602,0.0406525,0.0405316,1.61645,1.67918,1.74898,1674.93,1583.88,0.393852,1.0046,jf,c_t0
sigma_k[11],1.6717,0.00101061,0.0405068,0.0398879,1.6077,1.67078,1.73986,1647.92,1834.63,0.387503,1.00497,jf,c_t0
sigma_k[12],1.70938,0.00101467,0.0409956,0.0405114,1.6451,1.70804,1.77869,1693.43,1636.35,0.398204,1.00511,jf,c_t0
sigma_k[13],1.74487,0.00110628,0.0439921,0.0430817,1.6748,1.74404,1.81918,1621.7,1478.12,0.381336,1.00454,jf,c_t0
sigma_k[14],1.74891,0.00123257,0.0481703,0.0473836,1.67215,1.7486,1.82971,1560.29,1578.84,0.366895,1.00444,jf,c_t0
sigma_f[1],1.70473,0.00129311,0.0513139,0.05158,1.62296,1.70398,1.78958,1604.48,1626.71,0.377288,1.00409,jf,c_t0
sigma_f[2],1.60775,0.00141473,0.0563369,0.0561398,1.51755,1.60708,1.70152,1616.88,1774.82,0.380203,1.00344,jf,c_t0
sigma_f[3],1.47232,0.00157363,0.0619071,0.0613958,1.37294,1.47111,1.57549,1572.09,1619.77,0.369669,1.00307,jf,c_t0
sigma_f[4],1.45758,0.00161051,0.0617496,0.060836,1.35953,1.45622,1.55899,1511.52,1752.85,0.355428,1.00389,jf,c_t0
