param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,879.53,0.0716778,2.75116,2.62468,874.495,879.828,883.427,1507.18,2105.45,0.711904,1.00234,jf,d_B
c,-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
B[1],0.998843,0.00179822,0.0497867,0.0485396,0.918817,0.99725,1.08366,773.668,1081.92,0.365435,1.00585,jf,d_B
B[2],2.3564,0.00400818,0.107904,0.105254,2.18506,2.35279,2.54087,737.523,948.129,0.348362,1.00605,jf,d_B
t0,0.154359,6.58376e-05,0.00296351,0.00291977,0.149315,0.154428,0.159218,2038.71,2381.11,0.962966,1.0007,jf,d_B
d_base[1],1.76467,0.00228752,0.0704413,0.0687315,1.64628,1.76582,1.87961,959.12,1179.36,0.453031,1.00687,jf,d_B
d_base[2],1.21501,0.00249549,0.0735515,0.0742403,1.09619,1.21458,1.33796,875.854,1326.82,0.413701,1.0063,jf,d_B
d_base[3],0.538951,0.00193741,0.0672619,0.0683794,0.431205,0.537866,0.649396,1222.01,1684.96,0.577203,1.00309,jf,d_B
d_base[4],0.415011,0.00198404,0.0720667,0.0713045,0.296774,0.415276,0.534122,1342.53,2072.95,0.634132,1.00387,jf,d_B
d_base[5],0.784056,0.00224653,0.071668,0.0705333,0.668263,0.784042,0.901804,1033.4,1641.76,0.488117,1.00569,jf,d_B
d_base[6],1.29122,0.0025153,0.0743861,0.072939,1.17031,1.28977,1.41322,880.115,1230.27,0.415714,1.00525,jf,d_B
d_base[7],1.68564,0.00274194,0.0800413,0.0794407,1.54976,1.68522,1.81531,866.963,1150.0,0.409502,1.00684,jf,d_B
delta_d,-0.479403,0.00174102,0.050334,0.0487487,-0.564208,-0.478165,-0.398707,845.868,1251.07,0.399538,1.00685,jf,d_B
r,6.38797,0.0139175,0.36528,0.356587,5.8073,6.36695,7.01017,707.649,909.341,0.334251,1.0064,jf,d_B
p_lapse,0.106284,0.000118464,0.00563726,0.00565857,0.0971126,0.1063,0.115713,2302.89,2492.05,1.08775,1.00055,jf,d_B
c_full[1],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[2],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[3],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[4],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[5],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[6],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[7],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[8],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[9],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[10],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
c_full[11],-0.216139,0.000669298,0.0243205,0.0236178,-0.256028,-0.216205,-0.175444,1337.66,1799.55,0.631832,1.00132,jf,d_B
