param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
lp__,-205.032,123.492,301.656,7.13227,-934.417,-50.2016,-44.4456,6.96625,2000.0,0.00117649,1.5682,jf,d_t0
c,-0.52507,0.0388144,0.0971021,0.0265348,-0.595656,-0.562154,-0.29744,9.86535,2000.0,0.00166611,1.3645,jf,d_t0
B,1.65364,0.201716,0.363844,0.232055,0.943217,1.8203,2.02451,5.65993,2000.0,0.000955875,1.88661,jf,d_t0
t0[1],0.0104403,0.0105361,0.0190742,0.00191442,4.5328e-05,0.00137845,0.0608217,5.658,2000.0,0.00095555,1.88554,jf,d_t0
t0[2],0.230215,0.000668482,0.00143085,0.00122097,0.227957,0.230152,0.232708,7.19365,2000.0,0.0012149,1.55279,jf,d_t0
d_base[1],1.90146,0.0410587,0.133976,0.128139,1.68462,1.88573,2.12545,7.79493,2000.0,0.00131644,1.47862,jf,d_t0
d_base[2],1.44003,0.0327874,0.106553,0.108054,1.2968,1.42093,1.64019,7.41571,2000.0,0.0012524,1.51683,jf,d_t0
d_base[3],0.76339,0.063853,0.139037,0.135631,0.581314,0.735573,1.02259,6.63532,2000.0,0.0011206,1.61304,jf,d_t0
d_base[4],0.665851,0.178678,0.268465,0.163786,0.386191,0.55504,1.20716,5.68476,2000.0,0.00096007,1.88493,jf,d_t0
d_base[5],1.04032,0.0612859,0.120193,0.158736,0.858038,1.03178,1.21321,6.458,2000.0,0.00109066,1.6698,jf,d_t0
d_base[6],1.48539,0.0232808,0.0914106,0.0970562,1.3662,1.46983,1.67016,11.2599,2000.0,0.00190162,1.28947,jf,d_t0
d_base[7],1.84528,0.0364651,0.135762,0.126461,1.59676,1.83446,2.06767,7.95747,2000.0,0.0013439,1.4447,jf,d_t0
delta_d,-0.709079,0.0297743,0.101867,0.0925872,-0.863773,-0.714334,-0.504279,6.50496,2000.0,0.00109859,1.67515,jf,d_t0
r,5.28925,0.623269,1.15408,0.817937,3.17266,5.78531,6.5171,6.03817,2000.0,0.00101976,1.75538,jf,d_t0
p_lapse,0.149614,0.0234728,0.0591623,0.0109512,0.0248713,0.18094,0.193422,9.02549,2000.0,0.00152427,1.37635,jf,d_t0
c_full[1],-0.52507,0.0388144,0.0971021,0.0265348,-0.595656,-0.562154,-0.29744,9.86535,2000.0,0.00166611,1.3645,jf,d_t0
c_full[2],-0.52507,0.0388144,0.0971021,0.0265348,-0.595656,-0.562154,-0.29744,9.86535,2000.0,0.00166611,1.3645,jf,d_t0
c_full[3],-0.52507,0.0388144,0.0971021,0.0265348,-0.595656,-0.562154,-0.29744,9.86535,2000.0,0.00166611,1.3645,jf,d_t0
c_full[4],-0.52507,0.0388144,0.0971021,0.0265348,-0.595656,-0.562154,-0.29744,9.86535,2000.0,0.00166611,1.3645,jf,d_t0
c_full[5],-0.52507,0.0388144,0.0971021,0.0265348,-0.595656,-0.562154,-0.29744,9.86535,2000.0,0.00166611,1.3645,jf,d_t0
